x,seasonal,trend,remainder,remainder_l1,remainder_l2,anomaly,observed,Zone
1981.6666666666667,-3.301827218748585e-17,-1.313758288492403e-17,4.615585507240988e-17,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1981.75,-3.4384210560835395e-17,-1.3028346657909603e-17,4.7412557218745e-17,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1981.8333333333335,2.0202940758111096e-17,-1.2919110430895176e-17,-7.28383032721592e-18,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1981.9166666666667,3.633958239966249e-17,-1.2809874203880748e-17,-2.3529708195781744e-17,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1982,6.205311945616972e-17,-1.2700637976866321e-17,-4.9352481479303395e-17,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1982.0833333333335,5.453319999315382e-17,-1.2591401749851894e-17,1,-2.842964462810287e-16,2.951425153830695e-16,No,1,NW
1982.1666666666667,6.242373249934906e-17,-1.2482165522837467e-17,-4.9941566976511594e-17,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1982.25,5.26533402612382e-17,-1.2372929295823041e-17,-4.028041096541516e-17,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1982.3333333333335,7.337188057407386e-18,-1.2263693068808614e-17,4.926505011401228e-18,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1982.4166666666667,-4.043890973195441e-17,-1.2154456841794186e-17,5.2593366573748595e-17,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1982.5,-1.1096205168745947e-16,-1.2045220614779759e-17,1,-2.842964462810287e-16,2.951425153830695e-16,No,0.9999999999999999,NW
1982.5833333333335,-7.673967512073738e-17,-1.1935984387765332e-17,8.867565950850271e-17,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1982.6666666666667,-3.301827218748585e-17,-1.1826748160750904e-17,4.4845020348236756e-17,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1982.75,-3.4384210560835395e-17,-1.1717511933736477e-17,4.610172249457187e-17,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
1982.8333333333335,2.0202940758111096e-17,-1.160827570672205e-17,-8.594665051389046e-18,-2.842964462810287e-16,2.951425153830695e-16,No,0,NW
