Zone,Year,value_annual
NW,1981,0
NW,1982,0.9166666666666666
NW,1983,2.7384453781512605
NW,1984,0.6458333333333333
NW,1985,0.44444444444444436
NW,1986,0.6296296296296295
NW,1987,0.9333333333333333
NW,1988,2.1083333333333334
NW,1989,8.489502923976609
NW,1990,5.55651476400837
NW,1991,3.4206349206349205
NW,1992,0
NW,1993,0.9761904761904762
NW,1994,1.8041666666666667
NW,1995,5.105694444444444
NW,1996,1.6
NW,1997,15.631998456790125
NW,1998,3.7157300420168067
NW,1999,2.186208010335917
NW,2000,1.5583333333333331
NW,2001,0.9166666666666666
NW,2002,4.075545634920635
NW,2003,1.878494623655914
NW,2004,5.321180555555555
NW,2005,1.9140211640211642
NW,2006,12.446251691891227
NW,2007,3.376583820662768
NW,2008,3.2085098870056497
NW,2009,3.6614141414141415
NW,2010,3.2058823529411766
NW,2011,6.038725285435811
NW,2012,4.655483405483405
NW,2013,3.3796296296296298
NW,2014,9.697100032583904
NW,2015,5.9590495289024705
NW,2016,2.8520036856571713
NW,2017,2.243421052631579
NW,2018,1.0416666666666665
NW,2019,0.5104166666666667
NW,2020,4.549597423510467
NW,2021,4.300542091836734
NW,2022,16.291639980160852
NW,2023,19.020826073577087
NW,2024,11.151396404521403
NW,2025,4.620744371822804
SW,1981,1.325
SW,1982,0
SW,1983,2.8163003663003665
SW,1984,0
SW,1985,0.8333333333333334
SW,1986,0.9583333333333335
SW,1987,2.3395833333333336
SW,1988,1
SW,1989,6.173151629072682
SW,1990,5.405874572051043
SW,1991,3.7041666666666666
SW,1992,0
SW,1993,0
SW,1994,1.2881944444444444
SW,1995,7.134783272283272
SW,1996,2.3125
SW,1997,11.380980417529331
SW,1998,2.4955908289241626
SW,1999,2.0347222222222223
SW,2000,2.8360566448801743
SW,2001,0.4166666666666667
SW,2002,3.6834523809523807
SW,2003,1.8
SW,2004,2.564484126984127
SW,2005,3.791560340244551
SW,2006,13.57154882154882
SW,2007,3.598611111111111
SW,2008,2.909645232815964
SW,2009,4.107142857142857
SW,2010,3.7561728395061733
SW,2011,8.214209094704785
SW,2012,4.521875
SW,2013,3.447916666666667
SW,2014,6.886800334168756
SW,2015,8.05408183804923
SW,2016,6.888656633221851
SW,2017,5.28587962962963
SW,2018,2.416666666666667
SW,2019,1.6666666666666665
SW,2020,7.500248015873016
SW,2021,4.429505135387489
SW,2022,9.225693397016926
SW,2023,26.135203222703222
SW,2024,10.594917582417583
SW,2025,7.205074786324786
S,1981,1.25
S,1982,1.3313492063492063
S,1983,1.6444444444444444
S,1984,0
S,1985,0.875
S,1986,0
S,1987,2.553030303030303
S,1988,0.6666666666666667
S,1989,2.4046130952380955
S,1990,2.35
S,1991,1.9492063492063494
S,1992,0
S,1993,0.4722222222222222
S,1994,0.9166666666666666
S,1995,4.736832611832612
S,1996,1.9085648148148147
S,1997,5.915197649572649
S,1998,3.645833333333334
S,1999,1.3777777777777778
S,2000,2.458333333333333
S,2001,0
S,2002,0.9722222222222222
S,2003,0.9935897435897436
S,2004,3.013888888888889
S,2005,2.4821428571428568
S,2006,6.196059727309727
S,2007,3.3583333333333334
S,2008,3.7384259259259265
S,2009,3.993596681096681
S,2010,6.688422688422689
S,2011,9.337643239113827
S,2012,0.9444444444444444
S,2013,6.045906432748538
S,2014,7.428030303030303
S,2015,5.558001207729468
S,2016,7.908677944862156
S,2017,9.670949883449882
S,2018,2.0555555555555554
S,2019,3.229166666666667
S,2020,9.28514911014911
S,2021,3.0623638344226576
S,2022,14.270042530568846
S,2023,24.751100995953937
S,2024,13.096064814814815
S,2025,13.448192663817665
