Zone,Year,value_annual
NW,1981,0
NW,1982,0.9166666666666666
NW,1983,2.7544162826420893
NW,1984,0.6458333333333333
NW,1985,0.44444444444444436
NW,1986,0.6372549019607843
NW,1987,0.9333333333333333
NW,1988,2.0694444444444446
NW,1989,8.56051302498671
NW,1990,5.606389188268102
NW,1991,3.543269230769231
NW,1992,0
NW,1993,0.47619047619047616
NW,1994,1.8070175438596492
NW,1995,5.228895968682325
NW,1996,1.6153846153846156
NW,1997,15.746491702741704
NW,1998,3.6995963327859878
NW,1999,2.16483918128655
NW,2000,1.5166666666666666
NW,2001,0.9166666666666666
NW,2002,4.174305555555556
NW,2003,1.8325396825396827
NW,2004,5.334415584415584
NW,2005,1.901521164021164
NW,2006,14.152651997559868
NW,2007,3.431050051599587
NW,2008,2.780433006535948
NW,2009,3.6462904911180773
NW,2010,3.213888888888889
NW,2011,5.059626881055452
NW,2012,4.544745484400657
NW,2013,3.4039718451483156
NW,2014,9.53568727854118
NW,2015,6.065099268547544
NW,2016,2.9107389162561574
NW,2017,2.260416666666667
NW,2018,1.0833333333333335
NW,2019,0.5104166666666667
NW,2020,4.477878330819507
NW,2021,4.304383116883117
NW,2022,17.427924292723002
NW,2023,18.496364054881212
NW,2024,10.448321123321124
NW,2025,4.394279108217727
SW,1981,1.34375
SW,1982,0
SW,1983,3.2388392857142856
SW,1984,0
SW,1985,0.8333333333333334
SW,1986,0.9583333333333335
SW,1987,2.330808080808081
SW,1988,0.9880952380952384
SW,1989,6.430235042735044
SW,1990,5.662439412439412
SW,1991,3.6488095238095233
SW,1992,0
SW,1993,0
SW,1994,1.4
SW,1995,7.159475709475709
SW,1996,2.311111111111111
SW,1997,11.841666666666665
SW,1998,2.6527777777777777
SW,1999,1.9583333333333335
SW,2000,2.7777777777777777
SW,2001,0.4166666666666667
SW,2002,3.842592592592592
SW,2003,1.861111111111111
SW,2004,2.083333333333333
SW,2005,2.8892450142450143
SW,2006,14.154553049289891
SW,2007,2.5736111111111115
SW,2008,2.0685185185185184
SW,2009,4.003427128427129
SW,2010,3.019444444444445
SW,2011,8.648148148148149
SW,2012,3.7055555555555557
SW,2013,4.025
SW,2014,5.934523809523809
SW,2015,8.757688492063492
SW,2016,6.964593855218855
SW,2017,5.302777777777778
SW,2018,2.4861111111111116
SW,2019,0.5
SW,2020,3.916666666666667
SW,2021,2.329365079365079
SW,2022,9.718518518518518
SW,2023,18.26145912910619
SW,2024,8.908531746031747
SW,2025,6.435185185185185
S,1981,1.25
S,1982,1.05
S,1983,1.6726190476190477
S,1984,0
S,1985,0.9166666666666665
S,1986,0
S,1987,2.638888888888889
S,1988,0.6666666666666667
S,1989,2.886111111111111
S,1990,2.361111111111111
S,1991,1.8194444444444444
S,1992,0
S,1993,0.4722222222222222
S,1994,0.47222222222222227
S,1995,4.0964285714285715
S,1996,1.9814814814814814
S,1997,5.331448412698412
S,1998,2.408333333333333
S,1999,0.5
S,2000,1.75
S,2001,0
S,2002,0.9722222222222222
S,2003,1.0625
S,2004,0.4444444444444443
S,2005,2.297619047619048
S,2006,6.7103174603174605
S,2007,2.825
S,2008,3.270833333333333
S,2009,1.9861111111111112
S,2010,6.607142857142858
S,2011,9.861805555555556
S,2012,0.45
S,2013,5.286111111111111
S,2014,4.5
S,2015,6.627777777777777
S,2016,7.752976190476191
S,2017,8.179166666666667
S,2018,2.0972222222222228
S,2019,1.1041666666666665
S,2020,7.0888888888888895
S,2021,1.9027777777777777
S,2022,5.472222222222222
S,2023,18.65595238095238
S,2024,11.561111111111112
S,2025,7.118055555555555
