"m","R_structure","AICc","logLik","converged","degenerate","min_R_variance","min_Q_variance"
3,"diagonal and unequal",-594.558821447154,-550.491949188586,FALSE,TRUE,-2.48469813955504e-09,1
3,"equalvarcov",1494.93352342222,-702.176859430978,FALSE,FALSE,0.398114248090366,1
2,"diagonal and unequal",1531.82030702731,-720.620251233524,FALSE,TRUE,3.62362492605647e-06,1
2,"equalvarcov",2117.04041616257,-1026.8793812079,TRUE,FALSE,0.501896297821364,1
3,"diagonal and equal",2160.76377408461,-1036.15011620897,TRUE,FALSE,0.0733064489242011,1
1,"diagonal and unequal",2938.85605630927,-1438.82764080796,TRUE,FALSE,0.00136422105981136,1
1,"equalvarcov",3271.38477400209,-1618.49648431218,TRUE,FALSE,0.666958521788435,1
2,"diagonal and equal",3282.54034067871,-1610.66978299268,TRUE,FALSE,0.244170443048946,1
1,"diagonal and equal",4201.59774814635,-2084.62484976095,TRUE,FALSE,0.655743441583767,1
