"","X1","X2","X3"
"Zone_NW_Bath_1000",1.0624258117476,0,0
"Zone_NW_Bath_200",1.03302982139134,0.0869361910378975,0
"Zone_NW_Bath_400",1.0443298605844,0.0390470738226438,-0.00877773081448717
"Zone_NW_Bath_600",1.06548587668036,0.00744917108057386,-0.00803566408759456
"Zone_NW_Bath_800",1.05353715822873,0.00979754008802937,-0.000829375187375492
"Zone_SW_Bath_1000",-0.958386556444311,0.326290448009412,-0.202264870311728
"Zone_SW_Bath_200",-1.02503354613567,0.426182606891523,-0.273405289843227
"Zone_SW_Bath_400",-1.0482869510779,0.449814192683662,-0.241390472891217
"Zone_SW_Bath_600",-1.02715613217253,0.416475149876293,-0.236573526424427
"Zone_SW_Bath_800",-1.02912467248699,0.40536475017027,-0.236605617380232
"Zone_S_Bath_1000",0.380586547766619,-1.04032197728284,0.152819513560888
"Zone_S_Bath_200",-0.0750902428962265,-0.7094801503404,1.12656020671747
"Zone_S_Bath_400",-0.0750902428962129,-0.709480150340401,1.12656020671747
"Zone_S_Bath_600",0.0833376175301546,-0.847269373313555,1.02435950691801
"Zone_S_Bath_800",0.278961576432654,-1.18341203714572,0.4264195389601
