year,duration,start_time,end_time,area,lat,lon
2020,6,1595116800000000000,1595635200000000000,35391826.65386668,37.125,350.875
2020,5,1606694400000000000,1607126400000000000,35391826.65386668,37.125,350.875
2021,27,1617667200000000000,1620000000000000000,35391826.65386668,37.125,350.875
2022,33,1671494400000000000,1674345600000000000,35391826.65386668,37.125,350.875
2023,9,1678406400000000000,1679184000000000000,35391826.65386668,37.125,350.875
2023,12,1679875200000000000,1680912000000000000,35391826.65386668,37.125,350.875
2023,5,1683072000000000000,1683504000000000000,35391826.65386668,37.125,350.875
2023,6,1685232000000000000,1685750400000000000,35391826.65386668,37.125,350.875
2023,8,1686096000000000000,1686787200000000000,35391826.65386668,37.125,350.875
2023,25,1696464000000000000,1698624000000000000,35391826.65386668,37.125,350.875
2023,11,1701734400000000000,1702684800000000000,35391826.65386668,37.125,350.875
2023,64,1703894400000000000,1709424000000000000,35391826.65386668,37.125,350.875
2024,67,1731974400000000000,1737763200000000000,35391826.65386668,37.125,350.875
2025,7,1751673600000000000,1752278400000000000,35391826.65386668,37.125,350.875
2025,6,1754870400000000000,1755388800000000000,35391826.65386668,37.125,350.875
2025,6,1762128000000000000,1762646400000000000,35391826.65386668,37.125,350.875
1981,5,375926400000000000,376358400000000000,35391826.65386661,37.125,351.125
1983,7,416188800000000000,416793600000000000,35391826.65386661,37.125,351.125
1983,29,437184000000000000,439689600000000000,35391826.65386661,37.125,351.125
1985,5,498960000000000000,499392000000000000,35391826.65386661,37.125,351.125
1987,5,541987200000000000,542419200000000000,35391826.65386661,37.125,351.125
1987,5,555120000000000000,555552000000000000,35391826.65386661,37.125,351.125
1987,6,557971200000000000,558489600000000000,35391826.65386661,37.125,351.125
1987,16,558748800000000000,560131200000000000,35391826.65386661,37.125,351.125
1989,29,616204800000000000,618710400000000000,35391826.65386661,37.125,351.125
1989,6,619833600000000000,620352000000000000,35391826.65386661,37.125,351.125
1989,14,623721600000000000,624931200000000000,35391826.65386661,37.125,351.125
1989,7,625622400000000000,626227200000000000,35391826.65386661,37.125,351.125
1990,5,638236800000000000,638668800000000000,35391826.65386661,37.125,351.125
1990,9,648518400000000000,649296000000000000,35391826.65386661,37.125,351.125
1990,6,650160000000000000,650678400000000000,35391826.65386661,37.125,351.125
1990,7,650937600000000000,651542400000000000,35391826.65386661,37.125,351.125
1991,42,682387200000000000,686016000000000000,35391826.65386661,37.125,351.125
1994,6,786844800000000000,787363200000000000,35391826.65386661,37.125,351.125
1994,5,787622400000000000,788054400000000000,35391826.65386661,37.125,351.125
1995,7,796953600000000000,797558400000000000,35391826.65386661,37.125,351.125
1995,6,797904000000000000,798422400000000000,35391826.65386661,37.125,351.125
1995,6,809654400000000000,810172800000000000,35391826.65386661,37.125,351.125
1995,35,814233600000000000,817257600000000000,35391826.65386661,37.125,351.125
1996,9,820627200000000000,821404800000000000,35391826.65386661,37.125,351.125
1996,10,835833600000000000,836697600000000000,35391826.65386661,37.125,351.125
1996,12,836956800000000000,837993600000000000,35391826.65386661,37.125,351.125
1997,7,855964800000000000,856569600000000000,35391826.65386661,37.125,351.125
1997,52,857174400000000000,861667200000000000,35391826.65386661,37.125,351.125
1997,7,862272000000000000,862876800000000000,35391826.65386661,37.125,351.125
1997,6,865209600000000000,865728000000000000,35391826.65386661,37.125,351.125
1997,7,874281600000000000,874886400000000000,35391826.65386661,37.125,351.125
1997,5,876355200000000000,876787200000000000,35391826.65386661,37.125,351.125
1998,16,887328000000000000,888710400000000000,35391826.65386661,37.125,351.125
1998,12,890870400000000000,891907200000000000,35391826.65386661,37.125,351.125
2000,6,952992000000000000,953510400000000000,35391826.65386661,37.125,351.125
2000,5,962064000000000000,962496000000000000,35391826.65386661,37.125,351.125
2000,8,965952000000000000,966643200000000000,35391826.65386661,37.125,351.125
2002,6,1012176000000000000,1012694400000000000,35391826.65386661,37.125,351.125
2002,7,1016668800000000000,1017273600000000000,35391826.65386661,37.125,351.125
2003,5,1060300800000000000,1060732800000000000,35391826.65386661,37.125,351.125
2005,7,1118361600000000000,1118966400000000000,35391826.65386661,37.125,351.125
2005,11,1119225600000000000,1120176000000000000,35391826.65386661,37.125,351.125
2005,5,1121212800000000000,1121644800000000000,35391826.65386661,37.125,351.125
2006,24,1149379200000000000,1151452800000000000,35391826.65386661,37.125,351.125
2006,32,1152316800000000000,1155081600000000000,35391826.65386661,37.125,351.125
2006,14,1157155200000000000,1158364800000000000,35391826.65386661,37.125,351.125
2006,30,1162339200000000000,1164931200000000000,35391826.65386661,37.125,351.125
