year,duration,start_time,end_time,area,lat,lon
2020,5,1607644800000000000,1608076800000000000,32023208.888210166,36.875,350.875
2021,26,1617667200000000000,1619913600000000000,32023208.888210166,36.875,350.875
2021,8,1630972800000000000,1631664000000000000,32023208.888210166,36.875,350.875
2021,5,1634515200000000000,1634947200000000000,32023208.888210166,36.875,350.875
2022,6,1652659200000000000,1653177600000000000,32023208.888210166,36.875,350.875
2022,37,1671408000000000000,1674604800000000000,32023208.888210166,36.875,350.875
2023,15,1676419200000000000,1677715200000000000,32023208.888210166,36.875,350.875
2023,33,1678060800000000000,1680912000000000000,32023208.888210166,36.875,350.875
2023,20,1681776000000000000,1683504000000000000,32023208.888210166,36.875,350.875
2023,7,1685232000000000000,1685836800000000000,32023208.888210166,36.875,350.875
2023,10,1686096000000000000,1686960000000000000,32023208.888210166,36.875,350.875
2023,33,1696204800000000000,1699056000000000000,32023208.888210166,36.875,350.875
2023,98,1700870400000000000,1709337600000000000,32023208.888210166,36.875,350.875
2024,14,1712102400000000000,1713312000000000000,32023208.888210166,36.875,350.875
2024,6,1713657600000000000,1714176000000000000,32023208.888210166,36.875,350.875
2024,8,1730851200000000000,1731542400000000000,32023208.888210166,36.875,350.875
2024,76,1731888000000000000,1738454400000000000,32023208.888210166,36.875,350.875
2025,8,1740787200000000000,1741478400000000000,32023208.888210166,36.875,350.875
2025,6,1754870400000000000,1755388800000000000,32023208.888210166,36.875,350.875
2025,9,1761868800000000000,1762646400000000000,32023208.888210166,36.875,350.875
1981,5,375926400000000000,376358400000000000,32023208.888210062,36.875,351.125
1983,6,416188800000000000,416707200000000000,32023208.888210062,36.875,351.125
1983,5,438912000000000000,439344000000000000,32023208.888210062,36.875,351.125
1987,5,541987200000000000,542419200000000000,32023208.888210062,36.875,351.125
1987,6,552614400000000000,553132800000000000,32023208.888210062,36.875,351.125
1987,5,555120000000000000,555552000000000000,32023208.888210062,36.875,351.125
1987,15,558835200000000000,560131200000000000,32023208.888210062,36.875,351.125
1989,24,616723200000000000,618796800000000000,32023208.888210062,36.875,351.125
1989,5,619920000000000000,620352000000000000,32023208.888210062,36.875,351.125
1989,15,623635200000000000,624931200000000000,32023208.888210062,36.875,351.125
1990,9,648518400000000000,649296000000000000,32023208.888210062,36.875,351.125
1991,37,682819200000000000,686016000000000000,32023208.888210062,36.875,351.125
1994,6,787622400000000000,788140800000000000,32023208.888210062,36.875,351.125
1995,7,791769600000000000,792374400000000000,32023208.888210062,36.875,351.125
1995,5,814579200000000000,815011200000000000,32023208.888210062,36.875,351.125
1995,23,815270400000000000,817257600000000000,32023208.888210062,36.875,351.125
1996,5,820713600000000000,821145600000000000,32023208.888210062,36.875,351.125
1996,7,836092800000000000,836697600000000000,32023208.888210062,36.875,351.125
1996,13,836956800000000000,838080000000000000,32023208.888210062,36.875,351.125
1997,8,857174400000000000,857865600000000000,32023208.888210062,36.875,351.125
1997,40,858211200000000000,861667200000000000,32023208.888210062,36.875,351.125
1997,7,862272000000000000,862876800000000000,32023208.888210062,36.875,351.125
1997,6,865209600000000000,865728000000000000,32023208.888210062,36.875,351.125
1997,5,870307200000000000,870739200000000000,32023208.888210062,36.875,351.125
1997,10,874195200000000000,875059200000000000,32023208.888210062,36.875,351.125
1998,11,887760000000000000,888710400000000000,32023208.888210062,36.875,351.125
1998,13,890870400000000000,891993600000000000,32023208.888210062,36.875,351.125
2000,8,965952000000000000,966643200000000000,32023208.888210062,36.875,351.125
2002,6,1016668800000000000,1017187200000000000,32023208.888210062,36.875,351.125
2003,8,1060300800000000000,1060992000000000000,32023208.888210062,36.875,351.125
2004,5,1076371200000000000,1076803200000000000,32023208.888210062,36.875,351.125
2005,14,1119052800000000000,1120262400000000000,32023208.888210062,36.875,351.125
2005,5,1121212800000000000,1121644800000000000,32023208.888210062,36.875,351.125
2005,6,1124323200000000000,1124841600000000000,32023208.888210062,36.875,351.125
2006,22,1149465600000000000,1151366400000000000,32023208.888210062,36.875,351.125
2006,28,1152662400000000000,1155081600000000000,32023208.888210062,36.875,351.125
2006,11,1157241600000000000,1158192000000000000,32023208.888210062,36.875,351.125
2006,23,1162425600000000000,1164412800000000000,32023208.888210062,36.875,351.125
2007,5,1168992000000000000,1169424000000000000,32023208.888210062,36.875,351.125
2007,8,1192579200000000000,1193270400000000000,32023208.888210062,36.875,351.125
2007,14,1194307200000000000,1195516800000000000,32023208.888210062,36.875,351.125
2007,5,1198713600000000000,1199145600000000000,32023208.888210062,36.875,351.125
2008,7,1201305600000000000,1201910400000000000,32023208.888210062,36.875,351.125
2008,5,1202169600000000000,1202601600000000000,32023208.888210062,36.875,351.125
2008,24,1202947200000000000,1205020800000000000,32023208.888210062,36.875,351.125
2009,14,1245801600000000000,1247011200000000000,32023208.888210062,36.875,351.125
2009,5,1256688000000000000,1257120000000000000,32023208.888210062,36.875,351.125
2010,14,1271721600000000000,1272931200000000000,32023208.888210062,36.875,351.125
2010,5,1274227200000000000,1274659200000000000,32023208.888210062,36.875,351.125
2010,5,1282521600000000000,1282953600000000000,32023208.888210062,36.875,351.125
2011,5,1301356800000000000,1301788800000000000,32023208.888210062,36.875,351.125
2011,64,1302566400000000000,1308096000000000000,32023208.888210062,36.875,351.125
2011,26,1317168000000000000,1319414400000000000,32023208.888210062,36.875,351.125
2012,6,1336867200000000000,1337385600000000000,32023208.888210062,36.875,351.125
2013,10,1372809600000000000,1373673600000000000,32023208.888210062,36.875,351.125
2013,15,1377907200000000000,1379203200000000000,32023208.888210062,36.875,351.125
2013,16,1379894400000000000,1381276800000000000,32023208.888210062,36.875,351.125
2014,8,1400198400000000000,1400889600000000000,32023208.888210062,36.875,351.125
2014,14,1410480000000000000,1411689600000000000,32023208.888210062,36.875,351.125
2014,14,1413849600000000000,1415059200000000000,32023208.888210062,36.875,351.125
2015,14,1430784000000000000,1431993600000000000,32023208.888210062,36.875,351.125
2015,6,1432425600000000000,1432944000000000000,32023208.888210062,36.875,351.125
2015,16,1433548800000000000,1434931200000000000,32023208.888210062,36.875,351.125
2015,9,1447372800000000000,1448150400000000000,32023208.888210062,36.875,351.125
2015,53,1449878400000000000,1454457600000000000,32023208.888210062,36.875,351.125
2016,8,1454716800000000000,1455408000000000000,32023208.888210062,36.875,351.125
2016,8,1469232000000000000,1469923200000000000,32023208.888210062,36.875,351.125
2016,27,1471046400000000000,1473379200000000000,32023208.888210062,36.875,351.125
2016,9,1480982400000000000,1481760000000000000,32023208.888210062,36.875,351.125
2017,11,1494028800000000000,1494979200000000000,32023208.888210062,36.875,351.125
2017,11,1495411200000000000,1496361600000000000,32023208.888210062,36.875,351.125
2017,15,1497484800000000000,1498780800000000000,32023208.888210062,36.875,351.125
2017,11,1509235200000000000,1510185600000000000,32023208.888210062,36.875,351.125
2017,22,1511136000000000000,1513036800000000000,32023208.888210062,36.875,351.125
2018,21,1537747200000000000,1539561600000000000,32023208.888210062,36.875,351.125
2020,18,1580428800000000000,1581984000000000000,32023208.888210062,36.875,351.125
2020,16,1590364800000000000,1591747200000000000,32023208.888210062,36.875,351.125
2020,7,1595116800000000000,1595721600000000000,32023208.888210062,36.875,351.125
2020,5,1606003200000000000,1606435200000000000,32023208.888210062,36.875,351.125
2020,5,1607644800000000000,1608076800000000000,32023208.888210062,36.875,351.125
2021,26,1617667200000000000,1619913600000000000,32023208.888210062,36.875,351.125
2022,34,1671580800000000000,1674518400000000000,32023208.888210062,36.875,351.125
2023,11,1678320000000000000,1679270400000000000,32023208.888210062,36.875,351.125
2023,15,1679616000000000000,1680912000000000000,32023208.888210062,36.875,351.125
2023,19,1681862400000000000,1683504000000000000,32023208.888210062,36.875,351.125
2023,7,1686182400000000000,1686787200000000000,32023208.888210062,36.875,351.125
2023,25,1696377600000000000,1698537600000000000,32023208.888210062,36.875,351.125
2023,97,1700870400000000000,1709251200000000000,32023208.888210062,36.875,351.125
2024,5,1713657600000000000,1714089600000000000,32023208.888210062,36.875,351.125
2024,84,1731196800000000000,1738454400000000000,32023208.888210062,36.875,351.125
2025,5,1740960000000000000,1741392000000000000,32023208.888210062,36.875,351.125
2025,10,1751414400000000000,1752278400000000000,32023208.888210062,36.875,351.125
2025,9,1754784000000000000,1755561600000000000,32023208.888210062,36.875,351.125
2025,9,1761868800000000000,1762646400000000000,32023208.888210062,36.875,351.125
1983,7,416188800000000000,416793600000000000,32023208.888210166,36.875,351.375
1983,5,437184000000000000,437616000000000000,32023208.888210166,36.875,351.375
1983,10,438566400000000000,439430400000000000,32023208.888210166,36.875,351.375
1987,6,541987200000000000,542505600000000000,32023208.888210166,36.875,351.375
