Year,Month,Zone,Parameter,Value,Bathymetry
1981,9,NW,activity_degC_days_m2,0.0,200
1981,9,NW,mean_intensity_degC,,200
1981,10,NW,activity_degC_days_m2,0.0,200
1981,10,NW,mean_intensity_degC,,200
1981,11,NW,activity_degC_days_m2,0.0,200
1981,11,NW,mean_intensity_degC,,200
1981,12,NW,activity_degC_days_m2,0.0,200
1981,12,NW,mean_intensity_degC,,200
1982,1,NW,activity_degC_days_m2,0.0,200
1982,1,NW,mean_intensity_degC,,200
1982,2,NW,activity_degC_days_m2,4392613740.840991,200
1982,2,NW,mean_area_km2,62.31112826154329,200
1982,2,NW,mean_duration_days,6.0,200
1982,2,NW,mean_intensity_degC,1.221205234527588,200
1982,2,NW,number_of_events,1.0,200
1982,2,NW,sum_area_km2,62.31112826154329,200
1982,3,NW,activity_degC_days_m2,0.0,200
1982,3,NW,mean_intensity_degC,,200
1982,4,NW,activity_degC_days_m2,0.0,200
1982,4,NW,mean_intensity_degC,,200
1982,5,NW,activity_degC_days_m2,0.0,200
1982,5,NW,mean_intensity_degC,,200
1982,6,NW,activity_degC_days_m2,0.0,200
1982,6,NW,mean_intensity_degC,,200
1982,7,NW,activity_degC_days_m2,3251664080.833272,200
1982,7,NW,mean_area_km2,62.31112826154345,200
1982,7,NW,mean_duration_days,5.0,200
1982,7,NW,mean_intensity_degC,1.0848071575164795,200
1982,7,NW,number_of_events,1.0,200
1982,7,NW,sum_area_km2,62.31112826154345,200
1982,8,NW,activity_degC_days_m2,0.0,200
1982,8,NW,mean_intensity_degC,,200
1982,9,NW,activity_degC_days_m2,0.0,200
1982,9,NW,mean_intensity_degC,,200
1982,10,NW,activity_degC_days_m2,0.0,200
1982,10,NW,mean_intensity_degC,,200
1982,11,NW,activity_degC_days_m2,0.0,200
1982,11,NW,mean_intensity_degC,,200
1982,12,NW,activity_degC_days_m2,0.0,200
1982,12,NW,mean_intensity_degC,,200
1983,1,NW,activity_degC_days_m2,0.0,200
1983,1,NW,mean_intensity_degC,,200
1983,2,NW,activity_degC_days_m2,0.0,200
1983,2,NW,mean_intensity_degC,,200
1983,3,NW,activity_degC_days_m2,0.0,200
1983,3,NW,mean_intensity_degC,,200
1983,4,NW,activity_degC_days_m2,0.0,200
1983,4,NW,mean_intensity_degC,,200
1983,5,NW,activity_degC_days_m2,0.0,200
1983,5,NW,mean_intensity_degC,,200
1983,6,NW,activity_degC_days_m2,0.0,200
1983,6,NW,mean_intensity_degC,,200
1983,7,NW,activity_degC_days_m2,46532548134.97229,200
1983,7,NW,mean_area_km2,81.96379916501739,200
1983,7,NW,mean_duration_days,7.714285714285714,200
1983,7,NW,mean_intensity_degC,1.4332821369171145,200
1983,7,NW,number_of_events,7.0,200
1983,7,NW,sum_area_km2,573.7465941551218,200
1983,8,NW,activity_degC_days_m2,12102410342.648714,200
1983,8,NW,mean_area_km2,63.99125161361358,200
1983,8,NW,mean_duration_days,7.5,200
1983,8,NW,mean_intensity_degC,1.3318192958831787,200
1983,8,NW,number_of_events,2.0,200
1983,8,NW,sum_area_km2,127.98250322722716,200
1983,9,NW,activity_degC_days_m2,0.0,200
1983,9,NW,mean_intensity_degC,,200
1983,10,NW,activity_degC_days_m2,0.0,200
1983,10,NW,mean_intensity_degC,,200
1983,11,NW,activity_degC_days_m2,157361757298.98676,200
1983,11,NW,mean_area_km2,79.46387172345048,200
1983,11,NW,mean_duration_days,13.148148148148149,200
1983,11,NW,mean_intensity_degC,1.6846104860305786,200
1983,11,NW,number_of_events,27.0,200
1983,11,NW,sum_area_km2,2145.524536533163,200
1983,12,NW,activity_degC_days_m2,221115462393.04944,200
1983,12,NW,mean_area_km2,76.40802552035197,200
1983,12,NW,mean_duration_days,5.0,200
1983,12,NW,mean_intensity_degC,1.366352081298828,200
1983,12,NW,number_of_events,5.0,200
1983,12,NW,sum_area_km2,382.04012760175993,200
1984,1,NW,activity_degC_days_m2,0.0,200
1984,1,NW,mean_intensity_degC,,200
1984,2,NW,activity_degC_days_m2,0.0,200
1984,2,NW,mean_intensity_degC,,200
1984,3,NW,activity_degC_days_m2,0.0,200
1984,3,NW,mean_intensity_degC,,200
1984,4,NW,activity_degC_days_m2,0.0,200
1984,4,NW,mean_intensity_degC,,200
1984,5,NW,activity_degC_days_m2,0.0,200
1984,5,NW,mean_intensity_degC,,200
1984,6,NW,activity_degC_days_m2,0.0,200
1984,6,NW,mean_intensity_degC,,200
1984,7,NW,activity_degC_days_m2,61028676877.520676,200
1984,7,NW,mean_area_km2,66.93052179643644,200
1984,7,NW,mean_duration_days,7.75,200
1984,7,NW,mean_intensity_degC,1.6088106632232666,200
1984,7,NW,number_of_events,8.0,200
1984,7,NW,sum_area_km2,535.4441743714915,200
1984,8,NW,activity_degC_days_m2,0.0,200
1984,8,NW,mean_intensity_degC,,200
1984,9,NW,activity_degC_days_m2,0.0,200
1984,9,NW,mean_intensity_degC,,200
1984,10,NW,activity_degC_days_m2,0.0,200
1984,10,NW,mean_intensity_degC,,200
1984,11,NW,activity_degC_days_m2,0.0,200
1984,11,NW,mean_intensity_degC,,200
1984,12,NW,activity_degC_days_m2,0.0,200
1984,12,NW,mean_intensity_degC,,200
1985,1,NW,activity_degC_days_m2,0.0,200
1985,1,NW,mean_intensity_degC,,200
1985,2,NW,activity_degC_days_m2,0.0,200
1985,2,NW,mean_intensity_degC,,200
1985,3,NW,activity_degC_days_m2,0.0,200
1985,3,NW,mean_intensity_degC,,200
