Year,Month,Zone,Parameter,Value
1986,5,NW,mean_intensity_degC,
1986,6,NW,activity_degC_days_m2,0.0
1986,6,NW,mean_intensity_degC,
1986,7,NW,activity_degC_days_m2,0.0
1986,7,NW,mean_intensity_degC,
1986,8,NW,activity_degC_days_m2,0.0
1986,8,NW,mean_intensity_degC,
1986,9,NW,activity_degC_days_m2,154926767379.53555
1986,9,NW,mean_area_km2,74.16228136164742
1986,9,NW,mean_duration_days,7.647058823529412
1986,9,NW,mean_intensity_degC,1.8663618564605713
1986,9,NW,number_of_events,17.0
1986,9,NW,sum_area_km2,1260.758783148006
1986,10,NW,activity_degC_days_m2,2704177485.249396
1986,10,NW,mean_intensity_degC,1.5254827737808228
1986,11,NW,activity_degC_days_m2,0.0
1986,11,NW,mean_intensity_degC,
1986,12,NW,activity_degC_days_m2,0.0
1986,12,NW,mean_intensity_degC,
1987,1,NW,activity_degC_days_m2,0.0
1987,1,NW,mean_intensity_degC,
1987,2,NW,activity_degC_days_m2,0.0
1987,2,NW,mean_intensity_degC,
1987,3,NW,activity_degC_days_m2,38847741227.21188
1987,3,NW,mean_area_km2,75.32356599585563
1987,3,NW,mean_duration_days,6.0
1987,3,NW,mean_intensity_degC,1.289839506149292
1987,3,NW,number_of_events,8.0
1987,3,NW,sum_area_km2,602.588527966845
1987,4,NW,activity_degC_days_m2,0.0
1987,4,NW,mean_intensity_degC,
1987,5,NW,activity_degC_days_m2,0.0
1987,5,NW,mean_intensity_degC,
1987,6,NW,activity_degC_days_m2,0.0
1987,6,NW,mean_intensity_degC,
1987,7,NW,activity_degC_days_m2,0.0
1987,7,NW,mean_intensity_degC,
1987,8,NW,activity_degC_days_m2,0.0
1987,8,NW,mean_intensity_degC,
1987,9,NW,activity_degC_days_m2,20332983471.30605
1987,9,NW,mean_area_km2,71.03473370870176
1987,9,NW,mean_duration_days,5.2
1987,9,NW,mean_intensity_degC,1.7870235443115234
1987,9,NW,number_of_events,5.0
1987,9,NW,sum_area_km2,355.17366854350877
1987,10,NW,activity_degC_days_m2,6761800157.974371
1987,10,NW,mean_intensity_degC,1.6268954277038574
1987,11,NW,activity_degC_days_m2,0.0
1987,11,NW,mean_intensity_degC,
1987,12,NW,activity_degC_days_m2,0.0
1987,12,NW,mean_intensity_degC,
1988,1,NW,activity_degC_days_m2,0.0
1988,1,NW,mean_intensity_degC,
1988,2,NW,activity_degC_days_m2,0.0
1988,2,NW,mean_intensity_degC,
1988,3,NW,activity_degC_days_m2,17037222784.299187
1988,3,NW,mean_area_km2,84.4585738357571
1988,3,NW,mean_duration_days,5.0
1988,3,NW,mean_intensity_degC,1.151103138923645
1988,3,NW,number_of_events,5.0
1988,3,NW,sum_area_km2,422.29286917878545
1988,4,NW,activity_degC_days_m2,0.0
1988,4,NW,mean_intensity_degC,
1988,5,NW,activity_degC_days_m2,0.0
1988,5,NW,mean_intensity_degC,
1988,6,NW,activity_degC_days_m2,6034207914.769803
1988,6,NW,mean_area_km2,89.15451550496645
1988,6,NW,mean_duration_days,5.0
1988,6,NW,mean_intensity_degC,2.0732250213623047
1988,6,NW,number_of_events,1.0
1988,6,NW,sum_area_km2,89.15451550496645
1988,7,NW,activity_degC_days_m2,4736208700.0783825
1988,7,NW,mean_area_km2,95.84966563786587
1988,7,NW,mean_duration_days,5.0
1988,7,NW,mean_intensity_degC,1.6398169994354248
1988,7,NW,number_of_events,1.0
1988,7,NW,sum_area_km2,95.84966563786587
1988,8,NW,activity_degC_days_m2,0.0
1988,8,NW,mean_intensity_degC,
1988,9,NW,activity_degC_days_m2,0.0
1988,9,NW,mean_intensity_degC,
1988,10,NW,activity_degC_days_m2,0.0
1988,10,NW,mean_intensity_degC,
1988,11,NW,activity_degC_days_m2,103362091814.23657
1988,11,NW,mean_area_km2,71.81866404779781
1988,11,NW,mean_duration_days,9.833333333333334
1988,11,NW,mean_intensity_degC,1.5549205541610718
1988,11,NW,number_of_events,12.0
1988,11,NW,sum_area_km2,861.8239685735738
1988,12,NW,activity_degC_days_m2,8374683609.201977
1988,12,NW,mean_intensity_degC,1.2599422931671143
1989,1,NW,activity_degC_days_m2,5501910528.018648
1989,1,NW,mean_area_km2,94.17631837311566
1989,1,NW,mean_duration_days,5.0
1989,1,NW,mean_intensity_degC,0.9507481455802917
1989,1,NW,number_of_events,2.0
1989,1,NW,sum_area_km2,188.35263674623133
1989,2,NW,activity_degC_days_m2,11408851300.212358
1989,2,NW,mean_area_km2,73.49064072031774
1989,2,NW,mean_duration_days,6.333333333333333
1989,2,NW,mean_intensity_degC,1.0275508165359497
1989,2,NW,number_of_events,3.0
1989,2,NW,sum_area_km2,220.47192216095323
1989,3,NW,activity_degC_days_m2,15151294704.18602
1989,3,NW,mean_area_km2,64.83100072641079
1989,3,NW,mean_duration_days,6.0
1989,3,NW,mean_intensity_degC,1.036534309387207
1989,3,NW,number_of_events,4.0
1989,3,NW,sum_area_km2,259.32400290564317
1989,4,NW,activity_degC_days_m2,0.0
1989,4,NW,mean_intensity_degC,
1989,5,NW,activity_degC_days_m2,41302964837.91681
1989,5,NW,mean_area_km2,93.17195779948588
1989,5,NW,mean_duration_days,8.8
1989,5,NW,mean_intensity_degC,1.8171910047531128
1989,5,NW,number_of_events,5.0
1989,5,NW,sum_area_km2,465.85978899742935
1989,6,NW,activity_degC_days_m2,73398762839.98546
1989,6,NW,mean_area_km2,86.47046631476482
1989,6,NW,mean_duration_days,6.1
1989,6,NW,mean_intensity_degC,1.7420066595077515
1989,6,NW,number_of_events,10.0
1989,6,NW,sum_area_km2,864.7046631476483
1989,7,NW,activity_degC_days_m2,22378444578.26822
1989,7,NW,mean_area_km2,70.70853945991124
1989,7,NW,mean_duration_days,32.0
1989,7,NW,mean_intensity_degC,1.44424307346344
1989,7,NW,number_of_events,8.0
1989,7,NW,sum_area_km2,565.6683156792899
1989,8,NW,activity_degC_days_m2,763972028517.5808
1989,8,NW,mean_area_km2,79.54894159706049
1989,8,NW,mean_duration_days,21.545454545454547
1989,8,NW,mean_intensity_degC,1.7933462858200073
1989,8,NW,number_of_events,22.0
1989,8,NW,sum_area_km2,1750.0767151353307
1989,9,NW,activity_degC_days_m2,0.0
1989,9,NW,mean_intensity_degC,
1989,10,NW,activity_degC_days_m2,6579059303.158409
1989,10,NW,mean_area_km2,62.311128261543374
1989,10,NW,mean_duration_days,6.0
1989,10,NW,mean_intensity_degC,1.829066276550293
1989,10,NW,number_of_events,2.0
1989,10,NW,sum_area_km2,124.62225652308675
1989,11,NW,activity_degC_days_m2,5460328387.784783
1989,11,NW,mean_intensity_degC,1.518044114112854
1989,12,NW,activity_degC_days_m2,164559202976.74094
1989,12,NW,mean_area_km2,77.15053655371479
1989,12,NW,mean_duration_days,10.947368421052632
1989,12,NW,mean_intensity_degC,1.332692265510559
1989,12,NW,number_of_events,19.0
1989,12,NW,sum_area_km2,1465.8601945205808
1990,1,NW,activity_degC_days_m2,166639057621.70795
1990,1,NW,mean_area_km2,81.16678387394548
1990,1,NW,mean_duration_days,13.470588235294118
1990,1,NW,mean_intensity_degC,1.1135308742523193
1990,1,NW,number_of_events,34.0
1990,1,NW,sum_area_km2,2759.670651714146
1990,2,NW,activity_degC_days_m2,331724383199.35785
1990,2,NW,mean_area_km2,76.90407118131186
1990,2,NW,mean_duration_days,14.173913043478262
1990,2,NW,mean_intensity_degC,1.2142459154129028
1990,2,NW,number_of_events,23.0
1990,2,NW,sum_area_km2,1768.793637170173
1990,3,NW,activity_degC_days_m2,202181271144.5429
1990,3,NW,mean_area_km2,76.0565520822479
1990,3,NW,mean_duration_days,8.19047619047619
1990,3,NW,mean_intensity_degC,1.1657769680023193
1990,3,NW,number_of_events,21.0
1990,3,NW,sum_area_km2,1597.187593727206
1990,4,NW,activity_degC_days_m2,0.0
1990,4,NW,mean_intensity_degC,
1990,5,NW,activity_degC_days_m2,97795065471.95177
1990,5,NW,mean_area_km2,82.75187294954927
1990,5,NW,mean_duration_days,9.272727272727273
1990,5,NW,mean_intensity_degC,1.6727027893066406
1990,5,NW,number_of_events,11.0
1990,5,NW,sum_area_km2,910.270602445042
1990,6,NW,activity_degC_days_m2,1003016091.0845616
1990,6,NW,mean_intensity_degC,1.6851367950439453
1990,7,NW,activity_degC_days_m2,364455452146.5231
1990,7,NW,mean_area_km2,77.47291928957752
1990,7,NW,mean_duration_days,15.068965517241379
1990,7,NW,mean_intensity_degC,1.718558669090271
1990,7,NW,number_of_events,29.0
1990,7,NW,sum_area_km2,2246.714659397748
1990,8,NW,activity_degC_days_m2,162228359430.6775
1990,8,NW,mean_area_km2,69.02905722023768
1990,8,NW,mean_duration_days,7.1
1990,8,NW,mean_intensity_degC,1.6743175983428955
1990,8,NW,number_of_events,10.0
1990,8,NW,sum_area_km2,690.2905722023768
1990,9,NW,activity_degC_days_m2,0.0
1990,9,NW,mean_intensity_degC,
1990,10,NW,activity_degC_days_m2,0.0
1990,10,NW,mean_intensity_degC,
1990,11,NW,activity_degC_days_m2,0.0
1990,11,NW,mean_intensity_degC,
1990,12,NW,activity_degC_days_m2,0.0
1990,12,NW,mean_intensity_degC,
1991,1,NW,activity_degC_days_m2,0.0
1991,1,NW,mean_intensity_degC,
1991,2,NW,activity_degC_days_m2,0.0
1991,2,NW,mean_intensity_degC,
1991,3,NW,activity_degC_days_m2,0.0
1991,3,NW,mean_intensity_degC,
1991,4,NW,activity_degC_days_m2,0.0
1991,4,NW,mean_intensity_degC,
1991,5,NW,activity_degC_days_m2,0.0
1991,5,NW,mean_intensity_degC,
1991,6,NW,activity_degC_days_m2,0.0
1991,6,NW,mean_intensity_degC,
1991,7,NW,activity_degC_days_m2,0.0
1991,7,NW,mean_intensity_degC,
1991,8,NW,activity_degC_days_m2,33748650440.8118
1991,8,NW,mean_area_km2,77.02869402011048
1991,8,NW,mean_duration_days,25.26923076923077
1991,8,NW,mean_intensity_degC,1.7557637691497803
1991,8,NW,number_of_events,26.0
1991,8,NW,sum_area_km2,2002.7460445228724
1991,9,NW,activity_degC_days_m2,839232322377.6404
1991,9,NW,mean_area_km2,81.6052977439626
1991,9,NW,mean_duration_days,17.25
1991,9,NW,mean_intensity_degC,2.0375819206237793
1991,9,NW,number_of_events,4.0
1991,9,NW,sum_area_km2,326.4211909758504
1991,10,NW,activity_degC_days_m2,0.0
1991,10,NW,mean_intensity_degC,
1991,11,NW,activity_degC_days_m2,0.0
1991,11,NW,mean_intensity_degC,
1991,12,NW,activity_degC_days_m2,0.0
1991,12,NW,mean_intensity_degC,
1992,1,NW,activity_degC_days_m2,0.0
1992,1,NW,mean_intensity_degC,
1992,2,NW,activity_degC_days_m2,0.0
1992,2,NW,mean_intensity_degC,
1992,3,NW,activity_degC_days_m2,0.0
1992,3,NW,mean_intensity_degC,
1992,4,NW,activity_degC_days_m2,0.0
1992,4,NW,mean_intensity_degC,
1992,5,NW,activity_degC_days_m2,0.0
1992,5,NW,mean_intensity_degC,
1992,6,NW,activity_degC_days_m2,0.0
1992,6,NW,mean_intensity_degC,
1992,7,NW,activity_degC_days_m2,0.0
1992,7,NW,mean_intensity_degC,
1992,8,NW,activity_degC_days_m2,0.0
1992,8,NW,mean_intensity_degC,
1992,9,NW,activity_degC_days_m2,0.0
1992,9,NW,mean_intensity_degC,
1992,10,NW,activity_degC_days_m2,0.0
1992,10,NW,mean_intensity_degC,
1992,11,NW,activity_degC_days_m2,0.0
1992,11,NW,mean_intensity_degC,
1992,12,NW,activity_degC_days_m2,0.0
1992,12,NW,mean_intensity_degC,
1993,1,NW,activity_degC_days_m2,0.0
1993,1,NW,mean_intensity_degC,
1993,2,NW,activity_degC_days_m2,0.0
1993,2,NW,mean_intensity_degC,
1993,3,NW,activity_degC_days_m2,0.0
1993,3,NW,mean_intensity_degC,
1993,4,NW,activity_degC_days_m2,0.0
1993,4,NW,mean_intensity_degC,
1993,5,NW,activity_degC_days_m2,0.0
1993,5,NW,mean_intensity_degC,
1993,6,NW,activity_degC_days_m2,70705319697.97147
1993,6,NW,mean_area_km2,76.22039697930978
1993,6,NW,mean_duration_days,5.714285714285714
1993,6,NW,mean_intensity_degC,1.4598928689956665
1993,6,NW,number_of_events,14.0
1993,6,NW,sum_area_km2,1067.0855577103368
1993,7,NW,activity_degC_days_m2,0.0
1993,7,NW,mean_intensity_degC,
1993,8,NW,activity_degC_days_m2,0.0
1993,8,NW,mean_intensity_degC,
1993,9,NW,activity_degC_days_m2,0.0
1993,9,NW,mean_intensity_degC,
1993,10,NW,activity_degC_days_m2,0.0
1993,10,NW,mean_intensity_degC,
1993,11,NW,activity_degC_days_m2,0.0
1993,11,NW,mean_intensity_degC,
1993,12,NW,activity_degC_days_m2,0.0
1993,12,NW,mean_intensity_degC,
1994,1,NW,activity_degC_days_m2,0.0
1994,1,NW,mean_intensity_degC,
1994,2,NW,activity_degC_days_m2,0.0
1994,2,NW,mean_intensity_degC,
1994,3,NW,activity_degC_days_m2,0.0
1994,3,NW,mean_intensity_degC,
1994,4,NW,activity_degC_days_m2,0.0
1994,4,NW,mean_intensity_degC,
1994,5,NW,activity_degC_days_m2,0.0
1994,5,NW,mean_intensity_degC,
1994,6,NW,activity_degC_days_m2,99487609520.83078
1994,6,NW,mean_area_km2,76.44537955492186
1994,6,NW,mean_duration_days,5.684210526315789
1994,6,NW,mean_intensity_degC,1.5603538751602173
1994,6,NW,number_of_events,19.0
1994,6,NW,sum_area_km2,1452.4622115435152
1994,7,NW,activity_degC_days_m2,2817314289.171272
1994,7,NW,mean_area_km2,72.38805366641968
1994,7,NW,mean_duration_days,5.0
1994,7,NW,mean_intensity_degC,0.9500983953475952
1994,7,NW,number_of_events,1.0
1994,7,NW,sum_area_km2,72.38805366641968
1994,8,NW,activity_degC_days_m2,0.0
1994,8,NW,mean_intensity_degC,
1994,9,NW,activity_degC_days_m2,0.0
1994,9,NW,mean_intensity_degC,
1994,10,NW,activity_degC_days_m2,0.0
1994,10,NW,mean_intensity_degC,
1994,11,NW,activity_degC_days_m2,0.0
1994,11,NW,mean_intensity_degC,
1994,12,NW,activity_degC_days_m2,26081673953.908398
1994,12,NW,mean_area_km2,94.73410079469924
1994,12,NW,mean_duration_days,11.0
1994,12,NW,mean_intensity_degC,1.3341643810272217
1994,12,NW,number_of_events,3.0
1994,12,NW,sum_area_km2,284.2023023840978
1995,1,NW,activity_degC_days_m2,20927285859.64867
1995,1,NW,mean_area_km2,84.12793545842429
1995,1,NW,mean_duration_days,5.0
1995,1,NW,mean_intensity_degC,1.1918013095855713
1995,1,NW,number_of_events,6.0
1995,1,NW,sum_area_km2,504.76761275054577
1995,2,NW,activity_degC_days_m2,0.0
1995,2,NW,mean_intensity_degC,
1995,3,NW,activity_degC_days_m2,6738302857.725339
1995,3,NW,mean_area_km2,95.84966563786614
1995,3,NW,mean_duration_days,5.0
1995,3,NW,mean_intensity_degC,1.1665009260177612
1995,3,NW,number_of_events,2.0
1995,3,NW,sum_area_km2,191.69933127573228
1995,4,NW,activity_degC_days_m2,0.0
1995,4,NW,mean_intensity_degC,
1995,5,NW,activity_degC_days_m2,0.0
1995,5,NW,mean_intensity_degC,
