x,seasonal,trend,remainder,remainder_l1,remainder_l2,anomaly,observed,Zone
1981.6666666666667,-6.641662111366776e-14,-2.2366028828639133e-14,8.87826499423069e-14,-4.580977400071007e-13,4.858835742808477e-13,No,1.262177448353619e-29,NW
1981.75,-7.178470297660312e-14,-2.219261735627134e-14,9.397732033287446e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1981.8333333333335,7.592278793007646e-14,-2.2019205883903547e-14,-5.3903582046172914e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1981.9166666666667,4.598017577589833e-14,-2.1845794411535752e-14,-2.4134381364362575e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1982,9.164887841704434e-14,-2.1672382939167958e-14,-6.997649547787638e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1982.0833333333335,8.443390223414466e-14,-2.1498971466800166e-14,62.311128261543224,-4.580977400071007e-13,4.858835742808477e-13,No,62.31112826154329,NW
1982.1666666666667,9.15770119179716e-14,-2.132555999443237e-14,-7.025145192353923e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1982.25,8.428992293252404e-14,-2.115214852206458e-14,-6.313777441045946e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1982.3333333333335,-1.3922500118797614e-15,-2.0978737049696785e-14,2.2370987061576547e-14,-4.580977400071007e-13,4.858835742808477e-13,No,7.888609052210118e-31,NW
1982.4166666666667,2.091942701038214e-15,-2.080532557732899e-14,1.8713382876290776e-14,-4.580977400071007e-13,4.858835742808477e-13,No,-3.944304526105059e-31,NW
1982.5,-1.5395597714172452e-13,-2.06319141049612e-14,62.31112826154363,-4.580977400071007e-13,4.858835742808477e-13,No,62.31112826154345,NW
1982.5833333333335,-1.8239509725995658e-13,-2.0458502632593404e-14,2.0285359989254997e-13,-4.580977400071007e-13,4.858835742808477e-13,No,-2.524354896707238e-29,NW
1982.6666666666667,-6.641662111366776e-14,-2.028509116022561e-14,8.670171227389336e-14,-4.580977400071007e-13,4.858835742808477e-13,No,-1.262177448353619e-29,NW
1982.75,-7.178470297660312e-14,-2.0111679687857818e-14,9.189638266446094e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1982.8333333333335,7.592278793007646e-14,-1.9938268215490023e-14,-5.598451971458644e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1982.9166666666667,4.598017577589833e-14,-1.976740858286914e-14,-2.6212767193029186e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1983,9.164887841704434e-14,-1.9596548950248262e-14,-7.205232946679607e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1983.0833333333335,8.443390223414466e-14,-1.942568931762738e-14,-6.500821291651728e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1983.1666666666667,9.15770119179716e-14,-1.92548296850065e-14,-7.23221822329651e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
1983.25,8.428992293252404e-14,-1.908397005238562e-14,-6.520595288013843e-14,-4.580977400071007e-13,4.858835742808477e-13,No,-1.262177448353619e-29,NW
1983.3333333333335,-1.3922500118797614e-15,-1.891311041976474e-14,2.0305360431644502e-14,-4.580977400071007e-13,4.858835742808477e-13,No,7.888609052210118e-31,NW
1983.4166666666667,2.091942701038214e-15,-1.8742250787143858e-14,1.6650308086105643e-14,-4.580977400071007e-13,4.858835742808477e-13,No,-3.944304526105059e-31,NW
1983.5,-1.5395597714172452e-13,-1.8571391154522975e-14,573.7465941551219,-4.580977400071007e-13,4.858835742808477e-13,Yes,573.7465941551218,NW
1983.5833333333335,-1.8239509725995658e-13,-1.8400531521902096e-14,127.98250322722735,-4.580977400071007e-13,4.858835742808477e-13,No,127.98250322722716,NW
1983.6666666666667,-6.641662111366776e-14,-1.8229671889281214e-14,8.464629300294897e-14,-4.580977400071007e-13,4.858835742808477e-13,No,0,NW
