"","X1","X2","X3"
"Zone_NW_Bath_1000",1.12742669341261,0,0
"Zone_NW_Bath_200",1.13294539517925,0.103503352032835,0
"Zone_NW_Bath_400",1.13349937197426,0.0441128263837502,-0.0136959744959042
"Zone_NW_Bath_600",1.13948301344403,0.0202385482151398,-0.004718992255035
"Zone_NW_Bath_800",1.12833134319806,0.0260828222273491,-0.00064464253957516
"Zone_SW_Bath_1000",-0.688193006679106,0.772579332659857,-0.157382117674691
"Zone_SW_Bath_200",-0.76986580842262,0.772995885017134,-0.33104588027246
"Zone_SW_Bath_400",-0.782329631954888,0.810750917167319,-0.298675147218394
"Zone_SW_Bath_600",-0.769927055615726,0.78552003567699,-0.289647852725559
"Zone_SW_Bath_800",-0.774019350991737,0.796215132747175,-0.266957787845319
"Zone_S_Bath_1000",-0.406372342461476,-0.784250406467599,0.551857815093678
"Zone_S_Bath_200",-0.617700118465301,0.0212132839882337,1.60410145718907
"Zone_S_Bath_400",-0.617700118465332,0.021213283988232,1.60410145718908
"Zone_S_Bath_600",-0.66483023252707,-0.282053669883417,1.55763448056761
"Zone_S_Bath_800",-0.662406626381094,-0.686733451508086,1.00926290052975
