"TimeLabel","Trend","Estimate","SE","CI_low","CI_high","significant"
"1981_11","X1",0.201439540459279,0.500928962816543,-0.780363185474148,1.18324226639271,FALSE
"1981_11","X2",-1.08414534757094,0.140710809124404,-1.35993346569026,-0.808357229451623,TRUE
"1981_11","X3",-0.805792524370046,0.0847483875900373,-0.97189631179436,-0.639688736945731,TRUE
"1982_02","X1",-1.22756484673251,0.431816353593996,-2.07390934771216,-0.381220345752868,TRUE
"1982_02","X2",-0.329414383976888,0.687766007539289,-1.6774109885448,1.01858222059102,FALSE
"1982_02","X3",-0.426043174690057,0.729965117228701,-1.85674851442887,1.00466216504876,FALSE
"1982_05","X1",-0.888689953714248,0.683056123978812,-2.22745535613224,0.450075448703749,FALSE
"1982_05","X2",0.484293274884296,0.377262923804229,-0.255128468474272,1.22371501824286,FALSE
"1982_05","X3",-0.0373221053683878,0.359721840194299,-0.742363956601686,0.667719745864911,FALSE
"1982_07","X1",-1.31796622646371,0.44137397518415,-2.18304332153792,-0.4528891313895,TRUE
"1982_07","X2",-0.0337145947945748,0.708872443486986,-1.42307905366197,1.35564986407282,FALSE
"1982_07","X3",-0.0433590834194025,0.754227682018225,-1.52161817631825,1.43490000947945,FALSE
"1982_09","X1",-0.308842153495399,0.669796946678058,-1.62162004593929,1.00393573894849,FALSE
"1982_09","X2",-0.425006490121847,0.357836610001108,-1.12635335807392,0.276340377830229,FALSE
"1982_09","X3",-0.0365715131753692,0.341444510932758,-0.705790457322468,0.63264743097173,FALSE
"1983_03","X1",0.372334102789097,0.469970895852656,-0.548791926864134,1.29346013244233,FALSE
"1983_03","X2",-1.08321950436588,0.136798415699337,-1.35133947227872,-0.815099536453037,TRUE
"1983_03","X3",-0.25410023108057,0.0841619272085757,-0.41905457727886,-0.0891458848822798,TRUE
"1983_07","X1",-0.193646816420677,0.250677925526455,-0.684966522171743,0.297672889330389,FALSE
"1983_07","X2",-0.875852038135999,0.598485936271281,-2.04886291848144,0.297158842209445,FALSE
"1983_07","X3",-1.27526653281886,0.670554058316011,-2.58952833680541,0.0389952711676926,FALSE
"1983_08","X1",-1.17155038886686,0.421935339904234,-1.99852845888382,-0.344572318849892,TRUE
"1983_08","X2",-0.80275011516459,0.73515910742766,-2.24363548862942,0.638135258300236,FALSE
"1983_08","X3",-0.276383484511291,0.805684272847465,-1.85549564220266,1.30272867318008,FALSE
"1983_10","X1",-0.941797723231523,0.639677462237554,-2.19554251093911,0.311947064476062,FALSE
"1983_10","X2",-0.791237708311606,0.354649830636422,-1.48633860348222,-0.0961368131409881,TRUE
"1983_10","X3",0.733859597309808,0.334353379723278,0.0785390149429397,1.38918017967668,TRUE
"1983_11","X1",-0.130833583317991,0.0572349355576319,-0.24301199566842,-0.0186551709675612,TRUE
"1983_11","X2",-0.577614374091185,0.116554580508302,-0.806057154120632,-0.349171594061739,TRUE
"1983_11","X3",-0.376503543513601,0.084023099595771,-0.541185792590734,-0.211821294436468,TRUE
"1983_12","X1",-0.28803351285803,0.412679349677979,-1.09687017539028,0.52080314967422,FALSE
"1983_12","X2",-0.370143591467413,0.75661300747047,-1.85307783634407,1.11279065340924,FALSE
"1983_12","X3",-0.184943993777111,0.849135517535958,-1.84921902614137,1.47933103858714,FALSE
"1984_07","X1",-0.887069610516431,0.414082750878053,-1.69865688885669,-0.0754823321761758,TRUE
"1984_07","X2",0.0249808443306283,0.810734710115851,-1.56402998851296,1.61399167717422,FALSE
"1984_07","X3",0.0242358242768087,0.939145446791918,-1.81645542768013,1.86492707623374,FALSE
"1985_07","X1",-0.262437979791376,0.256124367795467,-0.764432516233581,0.23955655665083,FALSE
"1985_07","X2",0.626522630374647,0.610137765883447,-0.569325416364639,1.82237067711393,FALSE
"1985_07","X3",0.247116632409083,0.702924871091181,-1.13059079876709,1.62482406358526,FALSE
"1985_09","X1",0.240329677380464,0.63338418760647,-1.00108051870538,1.48173987346631,FALSE
"1985_09","X2",0.677798923543724,0.343066343228271,0.00540124650845675,1.35019660057899,TRUE
"1985_09","X3",0.228580672583564,0.322999745642339,-0.404487195891019,0.861648541058147,FALSE
"1985_10","X1",0.104653858942424,0.468219751469551,-0.813039990788191,1.02234770867304,FALSE
"1985_10","X2",-1.35170057131509,0.136657886190253,-1.61954510645136,-1.08385603617882,TRUE
"1985_10","X3",1.38830786656837,0.0841477751186799,1.22338125795658,1.55323447518015,TRUE
"1986_09","X1",-0.949975827503972,0.251901231425113,-1.44369316875848,-0.456258486249461,TRUE
"1986_09","X2",0.00842133821691207,0.600451584154922,-1.16844214118676,1.18528481762058,FALSE
"1986_09","X3",0.97341899564416,0.652102842016239,-0.304679088923881,2.2515170802122,FALSE
"1986_10","X1",-0.71748583946531,0.611745768190622,-1.91648551281372,0.481513833883097,FALSE
"1986_10","X2",0.034968592114779,0.620244976895927,-1.18068922419312,1.25062640842267,FALSE
"1986_10","X3",0.730036407964312,0.658584628893297,-0.560765745438227,2.02083856136685,FALSE
"1987_03","X1",0.329572639409769,0.0573285344063653,0.217210776686828,0.44193450213271,TRUE
"1987_03","X2",-0.953974906249198,0.116838147447661,-1.18297346726699,-0.724976345231402,TRUE
"1987_03","X3",0.353950901954469,0.0841587395552164,0.189002803441958,0.518899000466979,TRUE
"1987_05","X1",-0.894147951624331,0.614863792518811,-2.09925884035891,0.310962937110247,FALSE
"1987_05","X2",0.258289222108886,0.585133022599963,-0.888550428352103,1.40512887256987,FALSE
"1987_05","X3",-0.140513846239394,0.615475407700268,-1.34682347870202,1.06579578622324,FALSE
"1987_07","X1",-0.359295197967451,0.665144724197615,-1.6629549019016,0.944364505966701,FALSE
"1987_07","X2",-0.796756576806976,0.344056404931734,-1.4710947391235,-0.122418414490447,TRUE
"1987_07","X3",-0.943958647420557,0.327637987194599,-1.58611730228917,-0.301799992551948,TRUE
"1987_08","X1",0.260638514302826,0.464413798685613,-0.64959580504441,1.17087283365006,FALSE
"1987_08","X2",-1.1010024814946,0.135458944105094,-1.36649713332441,-0.835507829664794,TRUE
