"m","R_structure","AICc","logLik","converged","degenerate","min_R_variance","min_Q_variance","degenerate_R_series","degenerate_Q_trend","delta_AICc","AICc_support"
3,"diagonal and unequal",-964.48790443533,-819.877036828843,FALSE,TRUE,-1.59248539422006e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
3,"equalvarcov",1794.21034886513,-852.357440293594,FALSE,FALSE,0.335181365221733,1,NA,NA,2758.69825330046,"No support"
2,"diagonal and unequal",2006.1901373013,-958.347334511677,FALSE,FALSE,0.000901308456966411,1,NA,NA,2970.67804173663,"No support"
3,"diagonal and equal",2947.22161616412,-1429.89657629648,FALSE,FALSE,0.0489881970719058,1,NA,NA,3911.70952059945,"No support"
2,"equalvarcov",3059.49379330246,-1498.37410446784,TRUE,FALSE,0.496253057014056,1,NA,NA,4023.98169773779,"No support"
1,"diagonal and unequal",4546.01752595498,-2242.65940159507,TRUE,FALSE,0.00174921525805217,1,NA,NA,5510.50543039031,"No support"
1,"equalvarcov",5483.57042463881,-2724.67081979604,TRUE,FALSE,0.885141613508498,1,NA,NA,6448.05832907414,"No support"
2,"diagonal and equal",5598.01386212962,-2768.65756968239,TRUE,FALSE,0.231730801038576,1,NA,NA,6562.50176656495,"No support"
1,"diagonal and equal",6904.26035687181,-3436.02853419076,TRUE,FALSE,0.564428273040218,1,NA,NA,7868.74826130714,"No support"
