"","X1","X2","X3"
"Zone_NW_Bath_1000",0.0810882199871425,0,0
"Zone_NW_Bath_200",-0.00730988274313364,-0.0503498528607164,0
"Zone_NW_Bath_400",0.0492940424048594,-0.0248173510448179,-0.00517135791742499
"Zone_NW_Bath_600",0.0691273015746011,-0.0178658864172101,0.00623963802217859
"Zone_NW_Bath_800",0.0714977235678793,-0.0103013893080684,-0.00276124163248869
"Zone_SW_Bath_1000",0.392169822702261,0.32730641605332,1.02384240341892
"Zone_SW_Bath_200",0.300091243416443,0.240567174467838,1.05696841834487
"Zone_SW_Bath_400",0.336488427424134,0.272632566344025,1.0811391041954
"Zone_SW_Bath_600",0.344289909660139,0.288214668167444,1.08575512373659
"Zone_SW_Bath_800",0.355435978340951,0.296878983742039,1.07886201869987
"Zone_S_Bath_1000",-0.116908748420286,1.27965740036665,0.408880807695843
"Zone_S_Bath_200",-0.662419359315753,1.09444620696021,0.734188546722156
"Zone_S_Bath_400",-0.662419359315749,1.09444620696021,0.734188546722156
"Zone_S_Bath_600",-0.483581855285424,1.15289332987596,0.688258607123295
"Zone_S_Bath_800",-0.2754435166257,1.23962035208984,0.531452723593563
