x,seasonal,trend,remainder,remainder_l1,remainder_l2,anomaly,observed,Zone
1981.6666666666667,0.1406450722738583,0.045786730988267556,-0.18643180326212586,-2.8091792956653645,2.2638107180635885,No,0,NW
1981.75,-0.029376928845750466,0.051114135812158165,-0.0217372069664077,-2.8091792956653645,2.2638107180635885,No,0,NW
1981.8333333333335,-0.13053496169478127,0.056441540636048775,0.07409342105873248,-2.8091792956653645,2.2638107180635885,No,0,NW
1981.9166666666667,-0.17093145271784332,0.061768945459939384,0.10916250725790394,-2.8091792956653645,2.2638107180635885,No,0,NW
1982,-0.22465944540227545,0.06709635028383,0.15756309511844546,-2.8091792956653645,2.2638107180635885,No,0,NW
1982.0833333333335,-0.2017918330232927,0.0724237551077206,1.3505733124431598,-2.8091792956653645,2.2638107180635885,No,1.221205234527588,NW
1982.1666666666667,-0.11223142389790458,0.07775115993161122,0.03448026396629336,-2.8091792956653645,2.2638107180635885,No,0,NW
1982.25,-0.13784808915341745,0.08307856475550182,0.05476952439791563,-2.8091792956653645,2.2638107180635885,No,0,NW
1982.3333333333335,0.006899495040021933,0.08840596957939244,-0.09530546461941437,-2.8091792956653645,2.2638107180635885,No,-2.6020852139652106e-18,NW
1982.4166666666667,0.32966988467411795,0.09373337440328305,-0.423403259077401,-2.8091792956653645,2.2638107180635885,No,0,NW
1982.5,0.23051166089076472,0.09906077922717366,0.7552347173985412,-2.8091792956653645,2.2638107180635885,No,1.0848071575164795,NW
1982.5833333333335,0.29964802151900166,0.10438818405106427,-0.4040362055700659,-2.8091792956653645,2.2638107180635885,No,0,NW
1982.6666666666667,0.1406450722738583,0.10971558887495488,-0.25036066114881317,-2.8091792956653645,2.2638107180635885,No,0,NW
1982.75,-0.029376928845750466,0.11504299369884549,-0.08566606485309503,-2.8091792956653645,2.2638107180635885,No,0,NW
1982.8333333333335,-0.13053496169478127,0.1203703985227361,0.010164563172045171,-2.8091792956653645,2.2638107180635885,No,0,NW
1982.9166666666667,-0.17093145271784332,0.1262985056165635,0.044632947101279824,-2.8091792956653645,2.2638107180635885,No,0,NW
1983,-0.22465944540227545,0.1322266127103909,0.09243283269188454,-2.8091792956653645,2.2638107180635885,No,0,NW
1983.0833333333335,-0.2017918330232927,0.1381547198042183,0.06363711321907439,-2.8091792956653645,2.2638107180635885,No,0,NW
1983.1666666666667,-0.11223142389790458,0.1440828268980457,-0.03185140300014111,-2.8091792956653645,2.2638107180635885,No,0,NW
1983.25,-0.13784808915341745,0.1500109339918731,-0.012162844838455644,-2.8091792956653645,2.2638107180635885,No,0,NW
1983.3333333333335,0.006899495040021933,0.1559390410857005,-0.16283853612572244,-2.8091792956653645,2.2638107180635885,No,-2.6020852139652106e-18,NW
1983.4166666666667,0.32966988467411795,0.1618671481795279,-0.49153703285364586,-2.8091792956653645,2.2638107180635885,No,0,NW
1983.5,0.23051166089076472,0.16779525527335531,1.0349752207529945,-2.8091792956653645,2.2638107180635885,No,1.4332821369171145,NW
