"","X1","X2","X3"
"Zone_NW_Bath_1000",0.807978354291194,0,0
"Zone_NW_Bath_200",0.782483219993376,-0.119734596452577,0
"Zone_NW_Bath_400",0.80581973061588,0.00715739575158945,0.00880263809957616
"Zone_NW_Bath_600",0.806941109018054,0.0242525776024403,0.0240544347424836
"Zone_NW_Bath_800",0.800497481583819,0.0111352070487359,0.00162913609984751
"Zone_SW_Bath_1000",0.0148995328387565,0.397099855332865,0.807080880666314
"Zone_SW_Bath_200",-0.0464170691887997,0.375587478065715,0.802636342180635
"Zone_SW_Bath_400",-0.0409336202107427,0.392847152233353,0.81048104080019
"Zone_SW_Bath_600",-0.0576109012023357,0.399587649150741,0.822856980256832
"Zone_SW_Bath_800",-0.0247634313234169,0.364928833497412,0.851388275795196
"Zone_S_Bath_1000",-0.479827381367879,0.396273881233364,-0.754317904541781
"Zone_S_Bath_200",-0.81847776153172,-0.418215369620341,-0.561956501952689
"Zone_S_Bath_400",-0.818477761531731,-0.418215369620341,-0.561956501952689
"Zone_S_Bath_600",-0.686993994331798,-0.14217202130066,-0.602748926636872
"Zone_S_Bath_800",-0.577902551248539,0.160326357612552,-0.706188235918202
