"TimeLabel","Trend","Estimate","SE","CI_low","CI_high","significant"
"1981_Autumn","X1",-0.347007463937022,0.814915350397166,-1.94421220116431,1.25019727329026,FALSE
"1981_Autumn","X2",0.675389523775871,0.436081121949703,-0.179313769583366,1.53009281713511,FALSE
"1981_Autumn","X3",1.25941810265149,0.25682545354433,0.756049463391442,1.76278674191155,TRUE
"1982_Winter","X1",-0.986794161002552,0.658312089109258,-2.27706214624402,0.303473824238917,FALSE
"1982_Winter","X2",0.903462227264528,0.694872526756399,-0.458462899024359,2.26538735355342,FALSE
"1982_Winter","X3",0.667562830754489,0.823865745642183,-0.947184358800427,2.2823100203094,FALSE
"1982_Spring","X1",-0.785422342890689,0.694361876504746,-2.14634661307764,0.57550192729626,FALSE
"1982_Spring","X2",1.54879455617034,0.446558934302851,0.673555127962164,2.42403398437852,TRUE
"1982_Spring","X3",0.142055079895168,0.776869457978447,-1.38058107843174,1.66469123822208,FALSE
"1982_Summer","X1",-1.26475990833049,0.329826280340351,-1.91120753895239,-0.618312277708592,TRUE
"1982_Summer","X2",0.0669850665625152,0.362677585887746,-0.6438499397774,0.77782007290243,FALSE
"1982_Summer","X3",0.360655384706669,0.7104524148255,-1.03180576108082,1.75311653049416,FALSE
"1983_Winter","X1",-0.467222927718518,0.616267637144317,-1.67508530135898,0.740639445921942,FALSE
"1983_Winter","X2",-0.272341697654181,0.349408621648955,-0.957170011973915,0.412486616665553,FALSE
"1983_Winter","X3",0.47827249826637,0.205496643573124,0.0755064779191823,0.881038518613559,TRUE
"1983_Summer","X1",-0.0308964518605791,0.444055243063468,-0.901228735411156,0.839435831689998,FALSE
"1983_Summer","X2",-0.415479833917428,0.607937728591278,-1.60701588679942,0.776056218964563,FALSE
"1983_Summer","X3",0.688561269509562,0.485648869576998,-0.263293023993944,1.64041556301307,FALSE
"1983_Autumn","X1",-0.236694359596343,0.0778305943307714,-0.389239521380003,-0.084149197812684,TRUE
"1983_Autumn","X2",-0.0141124718378853,0.203591324550517,-0.413144135521703,0.384919191845932,FALSE
"1983_Autumn","X3",1.89858381792019,0.102551557766296,1.69758645813977,2.09958117770061,TRUE
"1984_Summer","X1",-0.0600534506336202,0.549285754434672,-1.13663374654649,1.01652684527925,FALSE
"1984_Summer","X2",-0.168429693451128,0.646189220381416,-1.43493729259672,1.09807790569446,FALSE
"1984_Summer","X3",0.838921993523431,0.708545908204765,-0.549802467951132,2.22764645499799,FALSE
"1985_Summer","X1",0.923877308623283,0.0778560749457699,0.771282205751923,1.07647241149464,TRUE
"1985_Summer","X2",0.0109144790495926,0.202010863784366,-0.385019538453592,0.406848496552777,FALSE
"1985_Summer","X3",-0.187638717770403,0.102035850072112,-0.38762530904367,0.0123478735028646,FALSE
"1985_Autumn","X1",1.26206367827525,0.578003518913335,0.1291975982677,2.39492975828281,TRUE
"1985_Autumn","X2",-0.343193207409291,0.335679282519391,-1.00111251150354,0.314726096684962,FALSE
"1985_Autumn","X3",-0.245062482189805,0.194650412869672,-0.626570280990214,0.136445316610603,FALSE
"1986_Summer","X1",0.816061217410512,0.477230575479715,-0.119293522851053,1.75141595767208,FALSE
"1986_Summer","X2",-0.411476811410783,0.674698987399892,-1.73386252712021,0.910908904298648,FALSE
"1986_Summer","X3",-0.819678882456258,0.532740366707958,-1.86383081431452,0.224473049402001,FALSE
"1986_Autumn","X1",0.252095031412197,0.726622537686056,-1.17205897280757,1.67624903563196,FALSE
"1986_Autumn","X2",-0.353362880582419,0.755200624308624,-1.83352890532949,1.12680314416465,FALSE
"1986_Autumn","X3",-1.10331581038665,0.590371644619159,-2.26042297133388,0.0537913505605843,FALSE
"1987_Winter","X1",-0.469036692216822,0.0779808143149868,-0.621876279759302,-0.316197104674343,TRUE
"1987_Winter","X2",-0.196239332335409,0.204826976205138,-0.597692828759722,0.205214164088903,FALSE
"1987_Winter","X3",-1.22799913411222,0.102883241185162,-1.42964658144788,-1.02635168677655,TRUE
"1987_Spring","X1",-0.455036855005518,0.690284137412438,-1.80796890343319,0.897895193422158,FALSE
