"TimeLabel","Trend","Estimate","SE","CI_low","CI_high","significant"
"1981","X1",-0.696874096333418,0.665665591584303,-2.0015546815862,0.607806488919366,FALSE
"1981","X2",0.623683992472416,0.0873534906835041,0.452474296808892,0.794893688135939,TRUE
"1981","X3",0.805188454242197,0.22267837992839,0.368746849446826,1.24163005903757,TRUE
"1982","X1",-1.61751010059777,0.178412936951813,-1.96719303139934,-1.2678271697962,TRUE
"1982","X2",-1.20309741104457,0.410998778602607,-2.00864021479563,-0.397554607293512,TRUE
"1982","X3",0.915991641547279,0.214847596383559,0.494898090470506,1.33708519262405,TRUE
"1983","X1",-0.191745074944156,0.0617904056259466,-0.312852044561133,-0.0706381053271799,TRUE
"1983","X2",-0.336794508775168,0.0671831303396412,-0.468471024609525,-0.205117992940811,TRUE
"1983","X3",0.700630456840915,0.213797619984517,0.28159482169088,1.11966609199095,TRUE
"1984","X1",0.374587222765238,0.529647077970789,-0.663501974574387,1.41267642010486,FALSE
"1984","X2",-0.352470385101909,0.47537246284512,-1.28418329152045,0.579242521316631,FALSE
"1984","X3",0.552143896142813,0.701260205866081,-0.822300851145849,1.92658864343147,FALSE
"1985","X1",0.607211100317595,0.0618258436662469,0.486034673417947,0.728387527217242,TRUE
"1985","X2",-0.026760096250111,0.0674558437146555,-0.158971120477598,0.105450927977376,FALSE
"1985","X3",0.305915161185554,0.215902179897478,-0.117245335597191,0.729075657968299,FALSE
"1986","X1",0.680339375730449,0.368007124920417,-0.040941335167701,1.4016200866286,FALSE
"1986","X2",-0.217153774736917,0.386866027147669,-0.975397254788444,0.541089705314609,FALSE
"1986","X3",0.327839312316393,0.68292776946377,-1.01067451987487,1.66635314450766,FALSE
"1987","X1",0.152837012934428,0.0617722059187789,0.0317657140880295,0.273908311780826,TRUE
"1987","X2",0.236042166635676,0.0671414039853937,0.10444743295285,0.367636900318502,TRUE
"1987","X3",0.459832021513585,0.21366299059035,0.0410602551273797,0.878603787899791,TRUE
"1988","X1",-0.475852165080535,0.0617323838933046,-0.596845414191212,-0.354858915969857,TRUE
"1988","X2",-0.889771511171356,0.0668439403831013,-1.02078322690698,-0.758759795435735,TRUE
"1988","X3",1.49417998434067,0.211550764896466,1.07954810424169,1.90881186443964,TRUE
"1989","X1",-0.933570403796374,0.0617323353117894,-1.05456355768903,-0.812577249903716,TRUE
"1989","X2",-0.838546426631241,0.0668433006703493,-0.969556888552908,-0.707535964709574,TRUE
"1989","X3",0.978411614504969,0.211546162355587,0.563788755220357,1.39303447378958,TRUE
"1990","X1",-0.0231305011163397,0.061732389830872,-0.144123761864435,0.0978627596317561,FALSE
"1990","X2",-0.323817065238347,0.0668440153615513,-0.454828927929029,-0.192805202547664,TRUE
"1990","X3",0.570017843840872,0.211551293468213,0.15538492776031,0.984650759921433,TRUE
"1991","X1",0.259708113015739,0.0618132322145584,0.138556404107194,0.380859821924285,TRUE
"1991","X2",0.681296198236546,0.067203454287499,0.549579848196364,0.813012548276728,TRUE
"1991","X3",0.50418594643421,0.21390091237638,0.0849478619162468,0.923424030952172,TRUE
"1992","X1",-1.01060654193086,0.713839705579799,-2.40970665560194,0.388493571740218,FALSE
"1992","X2",2.02141060408713,0.739876498781249,0.571279313468292,3.47154189470597,TRUE
"1992","X3",0.541926337763458,0.723821530657222,-0.876737793559351,1.96059046908627,FALSE
"1993","X1",-2.28092119687747,0.18514292264407,-2.64379465725233,-1.9180477365026,TRUE
"1993","X2",3.36152500993772,0.429030265171768,2.52064114192338,4.20240887795205,TRUE
"1993","X3",0.579666729092706,0.217909514272058,0.152571929230855,1.00676152895456,TRUE
"1994","X1",0.387877086355181,0.06173820427545,0.266872429505123,0.50888174320524,TRUE
"1994","X2",1.05585556442569,0.0668831991872952,0.924766902847769,1.1869442260036,TRUE
"1994","X3",-1.15221475441358,0.211635838058908,-1.56701337484699,-0.73741613398017,TRUE
"1995","X1",-0.0776575623711318,0.0617323377122549,-0.198650720968615,0.0433355962263515,FALSE
"1995","X2",0.138215126757907,0.06684332915722,0.00720460900300002,0.269225644512815,TRUE
"1995","X3",0.591249691841144,0.211546350081013,0.176626464621458,1.00587291906083,TRUE
"1996","X1",-0.497899417305813,0.0617323350942458,-0.618892570772092,-0.376906263839533,TRUE
"1996","X2",-0.461225422020506,0.0668432977765003,-0.592235878270333,-0.33021496577068,TRUE
"1996","X3",0.749336810593207,0.211546141550596,0.334713992085626,1.16395962910079,TRUE
"1997","X1",0.24041441516995,0.0617323350897812,0.11942126171242,0.361407568627479,TRUE
"1997","X2",0.418489449184251,0.0668432977157875,0.287478993053419,0.549499905315083,TRUE
"1997","X3",0.230802913795459,0.211546141117215,-0.18381990386271,0.645425731453628,FALSE
"1998","X1",-0.371453795804243,0.061732335194462,-0.492446949466943,-0.250460642141543,TRUE
"1998","X2",-0.0143235114236503,0.0668432991105429,-0.145333970288153,0.116686947440852,FALSE
"1998","X3",-0.436180226661886,0.211546151144681,-0.850803063973528,-0.0215573893502443,TRUE
"1999","X1",1.73719024595795,0.0617323838682946,1.61619699689629,1.8581834950196,TRUE
"1999","X2",0.184879781403898,0.0668439400509843,0.0538680663192145,0.315891496488582,TRUE
"1999","X3",0.706092301340707,0.211550762508775,0.291460425921522,1.12072417675989,TRUE
"2000","X1",0.136681613408472,0.0617721939985063,0.0156103379253787,0.257752888891566,TRUE
"2000","X2",0.221115807556176,0.0671412559411577,0.0895213640347207,0.352710251077631,TRUE
"2000","X3",-0.122447706859028,0.213661914041985,-0.541217363249211,0.296321949531155,FALSE
"2001","X1",0.852361671426706,0.368005549925436,0.131084047461995,1.57363929539142,TRUE
"2001","X2",-0.365738113454642,0.386856984391711,-1.12396387003017,0.392487643120886,FALSE
"2001","X3",-0.529923011836768,0.682771298967048,-1.86813016748981,0.808284143816275,FALSE
"2002","X1",0.612938453979215,0.0617721939985185,0.491867178496097,0.734009729462332,TRUE
"2002","X2",0.888565012649288,0.0671412559412889,0.756970569127576,1.020159456171,TRUE
"2002","X3",-0.633447689124472,0.213661914041989,-1.05221734551466,-0.214678032734281,TRUE
"2003","X1",-0.421184180397223,0.0617323838682174,-0.54217742945873,-0.300190931335715,TRUE
"2003","X2",-0.769959806066247,0.0668439400512695,-0.90097152115149,-0.638948090981005,TRUE
"2003","X3",0.179314537500318,0.211550762508772,-0.235317337918863,0.593946412919498,FALSE
"2004","X1",1.76798088772783,0.0617323351944884,1.64698773406507,1.88897404139058,TRUE
"2004","X2",0.620442063741693,0.066843299110675,0.489431604876931,0.751452522606454,TRUE
"2004","X3",1.9254170065346,0.211546151144682,1.51079416922295,2.34003984384624,TRUE
"2005","X1",-0.0636522233386705,0.0617323350897318,-0.184645376796103,0.057340930118762,FALSE
"2005","X2",-0.519491220905686,0.066843297715294,-0.650501677035551,-0.388480764775822,TRUE
"2005","X3",0.869312000936254,0.211546141116225,0.454689183280024,1.28393481859248,TRUE
"2006","X1",0.418941917453298,0.0617323350895571,0.297948763996208,0.539935070910388,TRUE
"2006","X2",0.159137161341794,0.0668432977126165,0.0281267052171774,0.290147617466411,TRUE
"2006","X3",-0.873857823748958,0.211546141094416,-1.28848064136244,-0.459235006135474,TRUE
"2007","X1",-0.549741415319052,0.0617323350896607,-0.670734568776345,-0.428748261861759,TRUE
"2007","X2",0.302566114769923,0.0668432977123425,0.171555658645843,0.433576570894003,TRUE
"2007","X3",0.161364784656385,0.211546141094361,-0.253258032956992,0.575987602269761,FALSE
"2008","X1",-0.222232423308917,0.0617323350894698,-0.343225576765836,-0.101239269851998,TRUE
"2008","X2",-0.573330841948157,0.0668432977126575,-0.704341298072854,-0.442320385823459,TRUE
"2008","X3",-1.5919548399142,0.211546141094367,-2.00657765752758,-1.17733202230081,TRUE
"2009","X1",-0.436676847627358,0.0617323350895733,-0.55767000108448,-0.315683694170237,TRUE
"2009","X2",0.591406442291897,0.0668432977126964,0.460395986167123,0.72241689841667,TRUE
"2009","X3",-0.847876522285208,0.211546141094368,-1.2624993398986,-0.433253704671819,TRUE
"2010","X1",0.474032442206824,0.0617323350894931,0.353039288749859,0.595025595663788,TRUE
