"Parameter","m","R_structure","AICc","logLik","converged","degenerate","min_R_variance","min_Q_variance","degenerate_R_series","degenerate_Q_trend","delta_AICc","AICc_support"
"mean_intensity_degC",1,"diagonal and unequal",2430.49992587367,-1184.68045895643,TRUE,FALSE,0.00133579912899735,1,NA,NA,3750.87782308484,"No support"
"mean_intensity_degC",2,"diagonal and equal",2442.35450540681,-1190.607748723,TRUE,FALSE,0.125335294088284,1,NA,NA,3762.73240261798,"No support"
"mean_intensity_degC",1,"diagonal and equal",3089.69268411832,-1528.68119330385,TRUE,FALSE,0.253783545647913,1,NA,NA,4410.07058132949,"No support"
"number_of_events",3,"diagonal and unequal",-1146.40666139819,-397.564189276293,FALSE,TRUE,-6.98753838569713e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"number_of_events",3,"equalvarcov",1098.71433157725,-504.067263508495,FALSE,FALSE,0.511845351371243,1,NA,NA,2245.12099297544,"No support"
"number_of_events",2,"diagonal and unequal",1334.45330843942,-621.93675193958,FALSE,TRUE,2.31983135336624e-05,1,"Zone_SW_Bath_600",NA,2480.85996983761,"No support"
"number_of_events",2,"equalvarcov",1607.45536360049,-772.086854926861,TRUE,FALSE,0.560782963531779,1,NA,NA,2753.86202499868,"No support"
"number_of_events",3,"diagonal and equal",1701.50945806221,-806.52295819777,FALSE,FALSE,0.0560748625102726,1,NA,NA,2847.91611946039,"No support"
"number_of_events",1,"equalvarcov",2926.19955934379,-1445.90387698304,TRUE,FALSE,0.77501780854753,1,NA,NA,4072.60622074198,"No support"
"number_of_events",1,"diagonal and unequal",2934.71994540498,-1436.75958535581,TRUE,FALSE,0.00137887168936534,1,NA,NA,4081.12660680317,"No support"
"number_of_events",2,"diagonal and equal",2961.18360825571,-1449.99141678118,TRUE,FALSE,0.196112020854779,1,NA,NA,4107.5902696539,"No support"
"number_of_events",1,"diagonal and equal",3806.62841096484,-1887.1401811702,TRUE,FALSE,0.483181071255608,1,NA,NA,4953.03507236303,"No support"
"sum_area_km2",3,"diagonal and unequal",-1181.59942737693,-374.556119267173,FALSE,TRUE,-2.2022561368812e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"sum_area_km2",3,"equalvarcov",1043.82443072733,-476.622313083537,FALSE,FALSE,0.512183821695989,1,NA,NA,2225.42385810427,"No support"
"sum_area_km2",2,"diagonal and unequal",1265.00182105356,-587.211008246651,TRUE,FALSE,0.000149067271105184,1,NA,NA,2446.60124843049,"No support"
"sum_area_km2",2,"equalvarcov",1542.49914948098,-739.608747867107,TRUE,FALSE,0.558627558628006,1,NA,NA,2724.09857685791,"No support"
"sum_area_km2",3,"diagonal and equal",1638.13884543302,-774.837651883178,TRUE,FALSE,0.0533075279470078,1,NA,NA,2819.73827280995,"No support"
"sum_area_km2",1,"diagonal and unequal",2908.3664503066,-1423.58283780662,TRUE,FALSE,0.00166052822961698,1,NA,NA,4089.96587768353,"No support"
"sum_area_km2",1,"equalvarcov",2911.91849180065,-1438.76334321146,TRUE,FALSE,0.774604716957482,1,NA,NA,4093.51791917758,"No support"
"sum_area_km2",2,"diagonal and equal",2952.29240817121,-1445.54581673893,TRUE,FALSE,0.194543786411533,1,NA,NA,4133.89183554814,"No support"
"sum_area_km2",1,"diagonal and equal",3808.64064655421,-1888.14629896488,TRUE,FALSE,0.484182194082332,1,NA,NA,4990.24007393114,"No support"
