"Parameter","m","R_structure","AICc","logLik","converged","degenerate","min_R_variance","min_Q_variance","degenerate_R_series","degenerate_Q_trend","delta_AICc","AICc_support"
"mean_intensity_degC",2,"diagonal and equal",2631.47266376942,-1285.43010863808,TRUE,FALSE,0.060468242853845,1,NA,NA,6128.36923057339,"No support"
"mean_intensity_degC",1,"diagonal and unequal",3499.71078332771,-1719.54916841723,TRUE,FALSE,0.00122506062695611,1,NA,NA,6996.60735013168,"No support"
"mean_intensity_degC",1,"diagonal and equal",4964.91050718102,-2466.36610249251,TRUE,FALSE,0.200636574877769,1,NA,NA,8461.80707398499,"No support"
"number_of_events",3,"diagonal and unequal",-2295.84107295964,-192.901129340308,FALSE,TRUE,-1.50683395398739e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"number_of_events",3,"equalvarcov",32.9601549914374,28.2676566432541,FALSE,FALSE,0.79600740205688,1,NA,NA,2328.80122795108,"No support"
"number_of_events",2,"diagonal and unequal",707.962381395766,-309.23345655891,FALSE,TRUE,2.06897831260678e-06,1,"Zone_NW_Bath_800; Zone_SW_Bath_600",NA,3003.80345435541,"No support"
"number_of_events",2,"equalvarcov",1424.96981107327,-681.112113353247,FALSE,FALSE,0.677933679438297,1,NA,NA,3720.81088403292,"No support"
"number_of_events",3,"diagonal and equal",1587.65924565642,-750.115391042633,TRUE,FALSE,0.0277592674321664,1,NA,NA,3883.50031861607,"No support"
"number_of_events",1,"diagonal and unequal",4226.02115113568,-2082.66121418542,TRUE,FALSE,0.000331254126905468,1,NA,NA,6521.86222409533,"No support"
"number_of_events",1,"equalvarcov",4298.73765817946,-2132.25443656636,TRUE,FALSE,0.782792904508376,1,NA,NA,6594.5787311391,"No support"
"number_of_events",2,"diagonal and equal",4325.84167797348,-2132.57147760432,TRUE,FALSE,0.136308854993919,1,NA,NA,6621.68275093313,"No support"
"number_of_events",1,"diagonal and equal",6075.17295886578,-3021.48483518775,TRUE,FALSE,0.39807001615292,1,NA,NA,8371.01403182542,"No support"
"sum_area_km2",3,"diagonal and unequal",-2485.08298747475,-124.354817965913,FALSE,TRUE,-2.56525271208838e-09,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
"sum_area_km2",3,"equalvarcov",-292.622262145771,191.058865211858,FALSE,FALSE,0.890528345553084,1,NA,NA,2192.46072532898,"No support"
"sum_area_km2",2,"diagonal and unequal",583.468514700276,-246.986523211165,FALSE,TRUE,1.36385300828047e-06,1,"Zone_NW_Bath_800; Zone_SW_Bath_600",NA,3068.55150217502,"No support"
"sum_area_km2",2,"equalvarcov",1189.23756481776,-563.24599022549,FALSE,FALSE,0.675920542979881,1,NA,NA,3674.32055229251,"No support"
"sum_area_km2",3,"diagonal and equal",1355.83294457748,-634.202240503159,TRUE,FALSE,0.0247724216448937,1,NA,NA,3840.91593205223,"No support"
"sum_area_km2",1,"diagonal and unequal",4139.63588391156,-2039.46858057336,TRUE,FALSE,0.000271842350215213,1,NA,NA,6624.7188713863,"No support"
"sum_area_km2",1,"equalvarcov",4252.1981453153,-2108.98468013428,TRUE,FALSE,0.781817500646213,1,NA,NA,6737.28113279004,"No support"
"sum_area_km2",2,"diagonal and equal",4279.82632214986,-2109.56379969251,TRUE,FALSE,0.133119377831884,1,NA,NA,6764.9093096246,"No support"
"sum_area_km2",1,"diagonal and equal",6080.0436449485,-3023.92017822911,TRUE,FALSE,0.398658046255196,1,NA,NA,8565.12663242325,"No support"
