"","X1","X2"
"Zone_NW_Bath_1000",0.595788070751337,0
"Zone_NW_Bath_200",0.80179702355423,0.176786425191194
"Zone_NW_Bath_400",0.780019277010824,0.313937830283792
"Zone_NW_Bath_600",0.825873735552574,0.179373679989453
"Zone_NW_Bath_800",0.832266111513828,0.152445292363287
"Zone_SW_Bath_1000",-0.785369597245272,-0.246338389185607
"Zone_SW_Bath_200",-0.309100492690424,0.644276848198421
"Zone_SW_Bath_400",-0.291202376397675,0.651277317043711
"Zone_SW_Bath_600",-0.268097849023233,0.673177103145579
"Zone_SW_Bath_800",-0.261380569747836,0.61517792283543
