"m","R_structure","AICc","logLik","converged"
2,"equalvarcov",579.55614393044,-267.698632712884,TRUE
3,"equalvarcov",587.355473582026,-262.606308219585,TRUE
3,"diagonal and unequal",591.571369714739,-255.373063498146,FALSE
2,"diagonal and unequal",595.126067005542,-266.491604931343,TRUE
3,"diagonal and equal",609.299039238281,-274.720778526504,TRUE
1,"equalvarcov",731.468567556928,-353.377304373429,TRUE
2,"diagonal and equal",735.739376055962,-346.89066704896,TRUE
1,"diagonal and unequal",885.026008603779,-421.533983322869,TRUE
1,"diagonal and equal",1033.69332168659,-505.545290980283,TRUE
