Zone,Year,value_annual
NW,1981,0
NW,1982,0.19216769933700562
NW,1983,0.4823990861574809
NW,1984,0.13406755526860553
NW,1985,0.13963584105173749
NW,1986,0.2817032237847646
NW,1987,0.3919798731803894
NW,1988,0.6360097825527191
NW,1989,1.1949227650960286
NW,1990,0.8474579552809397
NW,1991,0.31243442495663964
NW,1992,0
NW,1993,0.19561301171779633
NW,1994,0.3202908982833227
NW,1995,0.8158491154511769
NW,1996,0.33938522140185035
NW,1997,1.2591760754585266
NW,1998,0.39022760589917505
NW,1999,0.45712900161743164
NW,2000,0.37823290626207984
NW,2001,0.38028357426325476
NW,2002,0.5555016448100407
NW,2003,0.5107016662756603
NW,2004,0.43930201729138696
NW,2005,0.5264123678207396
NW,2006,1.1724120875199637
NW,2007,0.5306817243496578
NW,2008,0.8986476610104243
NW,2009,0.6587792138258617
NW,2010,0.8670484026273091
NW,2011,0.9351238409678141
NW,2012,0.7877295414606731
NW,2013,0.5720138053099315
NW,2014,1.339816153049469
NW,2015,0.8720767696698506
NW,2016,0.4606336851914724
NW,2017,0.4858782837788264
NW,2018,0.1523432532946269
NW,2019,0.12131178379058835
NW,2020,0.8565764675537745
NW,2021,0.5332722862561543
NW,2022,0.9021703203519185
NW,2023,1.5546109477678935
NW,2024,0.8928801814715067
NW,2025,0.7834360202153523
SW,1981,0.8416552245616913
SW,1982,0
SW,1983,0.4545152882734934
SW,1984,0
SW,1985,0.24382551511128744
SW,1986,0.23661472400029504
SW,1987,0.6274393498897552
SW,1988,0.24080813924471534
SW,1989,0.970773736635844
SW,1990,0.8891030152638753
SW,1991,0.32076620062192285
SW,1992,0
SW,1993,0
SW,1994,0.215490718682607
SW,1995,0.9175576865673065
SW,1996,0.33179914951324463
SW,1997,1.1100223362445831
SW,1998,0.2842400372028351
SW,1999,0.3538653453191122
SW,2000,0.5934992432594299
SW,2001,0.09248532851537068
SW,2002,0.7364321947097778
SW,2003,0.4858134786287943
SW,2004,0.4767692585786184
SW,2005,0.827962189912796
SW,2006,1.3056023021539054
SW,2007,0.6593346148729324
SW,2008,0.4580159385999044
SW,2009,0.5703553756078084
SW,2010,0.7505492021640141
SW,2011,0.9908223549524944
SW,2012,0.7218646307786306
SW,2013,0.4875122507413229
SW,2014,0.7834259768327076
SW,2015,1.0564118127028146
SW,2016,1.0074501534303029
SW,2017,1.0066690544287362
SW,2018,0.3899062673250834
SW,2019,0.2530160744984945
SW,2020,1.0281565537055333
SW,2021,0.46595721443494165
SW,2022,0.8712720672289531
SW,2023,1.3956593771775563
SW,2024,0.8637460122505825
SW,2025,1.0707202851772308
S,1981,0.7759753465652466
S,1982,0.28899971644083655
S,1983,0.5076505939165752
S,1984,0
S,1985,0.25064211090405786
S,1986,0
S,1987,0.6208579540252686
S,1988,0.3095548748970032
S,1989,0.605208694934845
S,1990,0.5003842214743297
S,1991,0.2925580938657125
S,1992,0
S,1993,0.27330345908800757
S,1994,0.153597891330719
S,1995,0.8116182933251064
S,1996,0.3897769252459208
S,1997,1.03618157406648
S,1998,0.36600130299727124
S,1999,0.3353172838687897
S,2000,0.5868220776319504
S,2001,0
S,2002,0.1541458268960317
S,2003,0.4295627772808075
S,2004,0.5327943166097004
S,2005,0.42572413881619775
S,2006,1.032878190279007
S,2007,0.5693326791127522
S,2008,0.8520254443089168
S,2009,0.8283642530441284
S,2010,1.0286008218924205
S,2011,1.1504499117533367
S,2012,0.2405798335870107
S,2013,0.9013325273990631
S,2014,0.6794874767462413
S,2015,0.6066952447096507
S,2016,0.9141390969355901
S,2017,1.1297231316566467
S,2018,0.4087182978789011
S,2019,0.47074361642201745
S,2020,1.2668661872545879
S,2021,0.6383660236994425
S,2022,0.8744008541107178
S,2023,1.2027878711620967
S,2024,0.8543767879406612
S,2025,1.126783440510432
