"","X1","X2","X3"
"Zone_NW_Bath_1000",0.804054823700723,0,0
"Zone_NW_Bath_200",0.78265697900219,-0.12770460646682,0
"Zone_NW_Bath_400",0.803469928204616,0.00699462308130137,0.00580672882344913
"Zone_NW_Bath_600",0.802910292564152,0.025531612330487,0.0220567764006161
"Zone_NW_Bath_800",0.796339194217069,0.0106330071114293,0.000681620016249781
"Zone_SW_Bath_1000",0.00561489683816293,0.445897687384541,0.783079514399917
"Zone_SW_Bath_200",-0.022604882520481,0.417733369370895,0.793181501156567
"Zone_SW_Bath_400",-0.0354500259104978,0.433687596871179,0.797387129358749
"Zone_SW_Bath_600",-0.0529950139013227,0.439702751694064,0.803682183065459
"Zone_SW_Bath_800",-0.0265799678244332,0.407576474373021,0.834355244617629
"Zone_S_Bath_1000",-0.480712590425952,0.302313596988645,-0.786190906215685
"Zone_S_Bath_200",-0.778296018801452,-0.475431730395286,-0.566507174211111
"Zone_S_Bath_400",-0.778296018801441,-0.475431730395287,-0.56650717421111
"Zone_S_Bath_600",-0.648684189162168,-0.190625372236103,-0.63260606332155
"Zone_S_Bath_800",-0.553723735435509,0.0985844939764385,-0.736194719144987
