"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136"
"X1",-0.203396455558028,-0.983920032907752,-0.877685303985257,-1.3269976816095,-0.608422166320316,-0.239058514387499,-0.234603794176647,-0.101589214913727,0.96577716829315,1.21264433685382,0.725895862857222,0.16922799012115,-0.476377547643084,-0.511003626000139,-0.700061767322132,-0.912048613397144,-1.07530940814526,-0.543952168163224,-0.72680289958044,-0.539869072113143,0.0385055228074923,0.109150001257521,-0.562766550414628,1.83771141097945,0.855768033369107,0.284653662903576,-0.0584031245385228,-0.62528504026861,0.0161326882367903,0.486082948254735,1.1783630148999,1.07561828643533,-0.656030045174941,-1.23483858699754,-0.840788802947643,-0.612089034495521,0.374412227258363,0.427649020182881,-0.530783117982927,-1.59224997561188,-0.756899500179378,-1.04168282870162,-0.950675301373626,-0.92652511146239,-0.06728705664327,-0.167163108249843,0.101454402084711,-0.258963574309788,1.82028255959483,0.810841972166339,0.561242659587899,-0.561167334344202,-0.945078894604124,-0.691842061324185,-0.503857874545552,-0.555526863525424,0.324752769458263,-0.360279954242113,0.526501531332218,1.00399026146559,1.69323474787216,3.01270094929016,0.782940493289396,-0.16701548021601,-1.77313827796058,0.2237887010193,0.48140059496002,0.641779742530607,-0.486529094651847,0.228644955649127,0.209723019110061,0.279108128391036,-0.165228761242285,0.187696650768078,0.206452883678599,0.132944258786525,0.40337101126255,1.06222299263767,-0.694751048645752,0.714436487181193,0.457191904987685,-0.110605367470085,0.035386684827035,-0.380260798339149,0.730993695075259,-0.963089446606907,-0.571204652817229,-0.150909412869399,-0.252340166996441,0.76029684058066,0.444823986125974,0.501663679461234,0.00539387922671011,-0.350990435539722,-0.0769211341688777,1.33726927291775,-0.382453066403758,-1.68891062330792,-0.719105870467181,-0.152966748651641,1.13718035882787,1.84012429406977,-0.101748362485605,-0.697143451502754,-0.650974998959495,-0.88229736307096,-0.577368963184943,-0.0631425895028566,0.18531942514022,0.575150037699575,0.972128132558862,0.13688083695391,0.448941951000366,0.0990294390949593,1.40727601537853,-0.340019863504582,-0.646799129646157,0.00307012750287024,0.539153948725764,1.01433086700589,1.45506918645502,1.89945258165279,0.480386990437185,0.498721261560993,-0.490983692772054,-0.219573420503804,1.85010332509796,-0.35198562258266,0.802090152572865,-1.04079218299164,0.131916963216537,0.384122699119302,0.873212735619443,1.08946265079859,0.483714417422586,-0.445515888233738
"X2",0.643968513926892,0.817851993986544,1.45527777981583,0.0922548348584415,-0.156862308505703,-0.312715533992911,0.0700009626936225,-0.0867885532121565,0.0594796011163534,-0.286047896009835,-0.313871593971203,-0.303018357381767,-0.191175674161195,-0.0932654867417106,0.43214107606322,0.310559191193152,0.415509981920439,0.790318088690281,0.969010627322567,0.434213097379057,0.289879763106339,1.05522678182828,-0.278251242594663,-0.314508303191474,-0.085455651350175,0.182725385352119,0.329400767815054,0.153216882513942,-0.0111046536963666,-0.471948192879995,-0.114884057838803,-0.246230943624149,0.280424549410854,0.832940802188334,0.488796319732538,-0.475301996680492,0.82455863203661,0.440874132778173,-1.05266971757107,-1.99284705960951,0.195252597653532,-0.235421375482283,-0.573216263736194,0.224522729578688,-0.90393363381914,-0.241492232668485,-0.463451152087289,-0.0607801623509813,-0.315113742532518,-0.471383972378473,0.385720575251401,-0.56066935666613,-0.254747250180335,-0.0480087616409023,0.757884488453612,0.0705604756731844,-0.405763836560853,-0.256427062482617,-0.236291623052987,1.02728231265946,-0.22247981271176,-0.462764858810348,0.291138495229874,0.363165578022835,0.84784703436692,0.708541923057616,0.0304322624333204,0.134717792620805,0.424013491147448,1.06384206083666,0.0267323619442032,-0.141959165301005,-0.152232250364654,-0.273701206997854,-1.01560042315922,0.887324977722248,0.61156980727841,1.77649545338906,0.434411168227701,0.260945451548681,0.10004400059859,0.755503238126307,0.199365129953121,0.112426673752756,1.28638115103691,-1.26492320827241,1.40095756357824,0.369238310651006,0.0339488157412758,0.839560394461548,0.929998996497001,0.626771823621837,-0.127312442579351,-0.0639571117730192,-1.48349400627927,1.3356752638353,2.1052229114363,0.766009965250012,0.718126674927607,0.550445802847368,0.912866350185258,0.15889733977387,-0.519586350051284,-0.0478647508568286,-0.217028665767754,0.202092021567381,-1.42910865976778,-0.878447463939676,0.175300172293198,0.105852879249058,-0.135582918799481,-0.946846973036769,-0.547354043077101,0.268445078895963,-0.0516327833870853,-1.02556005547766,0.586228676105921,-0.180773810978719,0.711881228362646,0.999557799828187,0.459638849859166,0.20918752387488,2.23065411449655,0.56397410886916,-0.719426055084182,0.370083783533603,-0.612031954647096,0.864113396701508,-0.343264153340219,1.49924239312132,0.745524613555032,1.06701881019271,0.221956098788657,0.604816695250542,0.303050385788524,0.354107530739543
"X3",1.03733792685415,0.500253488347563,0.0215682094404058,0.237920517401302,0.35139589814295,0.527809944188739,1.79512241144233,0.795391463492157,-0.173534505649738,-0.244179089521815,-0.78384177727168,-1.11281158052468,-1.26169097967063,-0.741959027360526,0.60528222506168,0.776000991706587,1.02881991670418,1.32933468494194,0.97882276365462,-0.220861403064102,-0.799879391309434,-0.236024537386138,0.405559765460538,0.596243037734376,0.228757607666016,0.851573128422826,-0.258781658806597,0.00167111917881685,0.262884323118553,0.494017328773536,0.341361698945521,-0.410951035618068,0.657775142339806,1.75483013368299,-1.47368891821651,0.13078764517591,0.725912932387606,0.389628481729779,-0.280910584861214,-0.531794864737168,-0.0099289597473544,-0.363329682894605,0.85825095895958,-0.319556848768857,-0.455279395169476,0.536655202967664,0.371285611183947,-0.111597879478931,-0.0621641796830705,-0.179007109502687,0.636563182382416,-0.0840182595918325,-0.174120481037703,-0.257805285914613,0.81607687525253,0.0574774124403795,-0.836535909772889,-0.41940851495874,0.0107345902711811,-0.994306366730954,-0.704719654273714,-0.276992904186169,0.955331923151826,0.906336924579222,-0.215799074357347,1.10345731644022,-0.149268751089531,0.0760935976780859,-0.695767795170652,-0.976897956525125,-0.44191673542903,-1.31060488189392,0.629755779903713,-0.0244043599183898,0.848303402476568,-0.411900669823357,-0.21047659347231,-0.0931941316063833,-0.546814214592476,0.345362445128375,0.120621110046208,1.10488319787292,-0.91107931575319,0.708413624381838,-0.659923898221835,0.289479834077826,1.1569022139117,-0.558127769692374,-0.572561143158191,-0.347136098382179,0.345459968457512,-0.0344234210355295,-0.783495143500203,0.786483051469855,-0.657295501760585,-0.65011019696386,-0.251716237277497,-1.11701502485008,-0.559363307253503,0.198123577649258,-0.402315433670921,-1.62475621000608,-1.1669650148532,0.614529135750336,-0.267385101924082,0.0392053278264183,0.00722967302260143,-0.554613699881862,-1.68746051524178,-0.859090488839553,-0.0235982578414487,-0.263179077481885,0.203971955142379,-0.411514861216727,1.77758549214573,-0.277810001757538,-0.857821368145773,0.357374286522945,1.41392390752572,-1.26312488745376,-1.27543342844975,-0.779382825997253,-1.29037736537285,-0.17166483639333,0.239799335257396,0.391537312925287,-0.0425107783822864,0.177900128080035,0.490292052433052,-0.0527258754354129,-0.00839671495014359,-0.132302698070645,-0.47700927862926,-0.96784486947861,-0.857713868312516,-0.697038022235595
