"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Zone_NW_Bath_1000",NA,1,12,8,12,18,6.5,5.75,9.11111111111111,22.8333333333333,17,7.5,8.33333333333333,13.1666666666667,6,10.6,34.3333333333333,16.6666666666667,8.33333333333333,1.5,13.4,19,24,10.25,20.1428571428571,9.6,12.5,17.8,12,14,13.3333333333333,13,15.5714285714286,14.8333333333333,21.25,10.75,16,8,14.5,21.75,23,17.6,16.375,18.4285714285714
"Zone_NW_Bath_200",NA,1,10.25,8,12,16,6.5,4.25,7.77777777777778,19.6666666666667,13,12,10,11.6666666666667,5,9.33333333333333,26.6666666666667,13.6666666666667,8,1.5,10.8,15,18,8,17,8.8,14,14.2,9.8,10.5,10,12.5,11.4285714285714,11,15.75,8.5,15,8,12.2,15.75,16.8571428571429,13.7777777777778,13.1428571428571,18.4
"Zone_NW_Bath_400",NA,1,11.25,8,12,17,6.5,4.75,8.33333333333333,21.3333333333333,15,14,7.66666666666667,12.3333333333333,5,9.3,30.3333333333333,15,8,1.5,12,17.3333333333333,20.6666666666667,9.25,17.1428571428571,9.2,13.2,15.8,11.2,13.3333333333333,11.6666666666667,12.5,13.7142857142857,12.6666666666667,19,9.5,15,8,12.3333333333333,19,19.7142857142857,15.2,15.8571428571429,15.5714285714286
"Zone_NW_Bath_600",NA,1,11.75,8,12,18,6.5,5.25,8.55555555555556,22.3333333333333,16,14,8.33333333333333,12.8333333333333,5,9.9,32.3333333333333,15.6666666666667,8.33333333333333,1.5,13,18.3333333333333,22.3333333333333,10,18.2857142857143,9.4,14,16.8,11.6,15,12.6666666666667,12.75,14.7142857142857,13.8333333333333,20.25,10,15,8,13.3333333333333,20.25,21.2857142857143,16.3,17.4285714285714,17
"Zone_NW_Bath_800",NA,1,11.75,8,12,18,6.5,5.5,8.77777777777778,22.6666666666667,16.5,7.5,8.33333333333333,13.1666666666667,5.66666666666667,10.5,33,16.3333333333333,8.33333333333333,1.5,13.2,18.6666666666667,23,10,19.1428571428571,9.4,12.1666666666667,17.2,11.8,13.4285714285714,13,13,15.1428571428571,14.1666666666667,20.75,10.25,16,8,14,21,22,16.8,18,17.5714285714286
"Zone_SW_Bath_1000",10,NA,14.3333333333333,NA,1.5,1.5,7,16,9,11.7142857142857,11,NA,13.5,11.5714285714286,7.33333333333333,10.5,17,5.33333333333333,6,2,12,12.3333333333333,10,10.3333333333333,10.5555555555556,5,13.5,10.25,7.33333333333333,13,7,7.75,9.8,11.625,7.85714285714286,7.57142857142857,3.66666666666667,2,7.25,10,7.75,10.6666666666667,9.85714285714286,4.6
"Zone_SW_Bath_200",8,NA,6.66666666666667,NA,1.5,1.5,4,12,6.16666666666667,7.71428571428571,6.5,NA,8,6.57142857142857,4,6.625,10.6666666666667,1.66666666666667,4,2,8.2,6.66666666666667,7,6.2,5.77777777777778,3.4,14,7,5.6,7.57142857142857,4,5.5,5.6,6.875,4.57142857142857,4.85714285714286,2,3,5.6,10.5,6,7.3,6.16666666666667,3.33333333333333
"Zone_SW_Bath_400",8,NA,9,NA,1.5,1.5,4.75,14,6.5,9.28571428571429,7.5,NA,9,9.66666666666667,4.66666666666667,7.625,12.3333333333333,2.66666666666667,4.4,2,9.2,7,6,7.6,6.66666666666667,4.5,16,7.5,6.4,8.57142857142857,5.25,6,6.4,7.5,6,5.28571428571429,2.66666666666667,2,5.33333333333333,13,7,8.5,8,3.625
"Zone_SW_Bath_600",10,NA,11,NA,1.5,1.5,5.75,15,7.5,10.4285714285714,8.5,NA,10.5,9.42857142857143,5.66666666666667,8.5,14.3333333333333,3,5,2,10.2,8.66666666666667,6.66666666666667,8.6,7.77777777777778,4.4,19,8.75,6.16666666666667,10,5.75,7,7.4,8.875,6.71428571428571,5.71428571428571,3,3,6.33333333333333,14.5,7.8,9.8,8.66666666666667,3.77777777777778
"Zone_SW_Bath_800",10,NA,12.3333333333333,NA,1.5,1.5,6,15,7.66666666666667,11,9,NA,11.5,10,6,8.875,15,3.66666666666667,5.2,2,10.4,9.33333333333333,7.33333333333333,7.83333333333333,8.22222222222222,4.6,14,9,6.33333333333333,10.7142857142857,6.5,7,8,9.625,6.71428571428571,6,3,3,7,15.5,7.16666666666667,10.3,9.16666666666667,3.88888888888889
"Zone_S_Bath_1000",1,9.5,5,NA,1.5,NA,6.75,1,9.33333333333333,3.25,11,3,2.5,7.83333333333333,9.33333333333333,7.85714285714286,10.5,3,3.75,NA,8.5,7.5,2.2,6.33333333333333,10.5714285714286,5,6.83333333333333,6.33333333333333,5.85714285714286,8,5,7.71428571428571,9.6,14,8.42857142857143,8.5,15,2,7.7,7.25,9.33333333333333,8.66666666666667,6,8.3
"Zone_S_Bath_200",1,4.5,4,NA,1,NA,4,1,4,2.25,5,3,3,4.2,7,5.66666666666667,8,3,3,NA,4,3,3,3.33333333333333,5,3.75,4,3,2.85714285714286,3.85714285714286,5,4,3.25,6.5,4.16666666666667,5.66666666666667,6,2.5,3.85714285714286,4,3.2,4.125,3.5,3.25
"Zone_S_Bath_400",1,4.5,4,NA,1,NA,4,1,4,2.25,5,3,3,4.2,7,5.66666666666667,8,3,3,NA,4,3,3,3.33333333333333,5,3.75,4,3,2.85714285714286,3.85714285714286,5,4,3.25,6.5,4.16666666666667,5.66666666666667,6,2.5,3.85714285714286,4,3.2,4.125,3.5,3.25
"Zone_S_Bath_600",1,5.5,4.33333333333333,NA,1.5,NA,5,1,5.66666666666667,2.75,5.5,3,2.5,5.6,7.66666666666667,6.57142857142857,10,2.5,2.75,NA,5,4.5,2.33333333333333,5,6.14285714285714,5,5.5,4.33333333333333,3.71428571428571,4.875,7,5.16666666666667,5,8.75,5.5,6.66666666666667,8,2.5,5.28571428571429,4,4.4,5.11111111111111,5,4.375
"Zone_S_Bath_800",1,7.5,4.66666666666667,NA,1.5,NA,6,1,7,3,8,3,2.5,6.33333333333333,8.33333333333333,7.42857142857143,14,3,3,NA,6.5,6,2.66666666666667,6,8.71428571428571,5.75,6.2,7,4.85714285714286,6.22222222222222,8,6.28571428571429,6.4,11.25,7.5,6.5,11,2,5.5,6,7.2,6.66666666666667,5.6,6
