"","X1","X2","X3"
"Zone_NW_Bath_1000",0.943914184912861,0,0
"Zone_NW_Bath_200",0.977945355696492,0.084309733166548,0
"Zone_NW_Bath_400",0.960489190117426,0.112509850170979,-0.00826884118227388
"Zone_NW_Bath_600",0.949908740395205,0.116878150114912,-0.0162864254766154
"Zone_NW_Bath_800",0.957309117972213,0.00577610349909182,-0.00218988648836744
"Zone_SW_Bath_1000",-0.264042258411621,0.82275038995528,0.0178186743865394
"Zone_SW_Bath_200",-0.288526801707398,0.914272975820822,-0.184839526489357
"Zone_SW_Bath_400",-0.304297911385837,0.885911300381427,-0.153232759019543
"Zone_SW_Bath_600",-0.314911384240859,0.883853370515945,-0.141162734772582
"Zone_SW_Bath_800",-0.261649832011944,0.904899760662085,-0.0749783649099735
"Zone_S_Bath_1000",-0.355500395524165,-1.00321213437523,0.00762608555212148
"Zone_S_Bath_200",-0.327962350931754,-0.633526199825871,0.624651556030174
"Zone_S_Bath_400",-0.327962350931757,-0.633526199825871,0.624651556030174
"Zone_S_Bath_600",-0.347440562552042,-0.785282794184041,0.44274142680801
"Zone_S_Bath_800",-0.22803959852539,-0.811858190072213,0.271965376360657
