"","X1","X2","X3"
"Zone_NW_Bath_1000",0.960226357521515,0,0
"Zone_NW_Bath_200",0.997805733757157,-0.0189130580607186,0
"Zone_NW_Bath_400",0.984438196075723,-0.0487671405916829,0.0506374959034174
"Zone_NW_Bath_600",0.972994513290344,-0.0601523000476581,0.054474753306477
"Zone_NW_Bath_800",0.968814572912164,0.000672466818828583,-0.0220714254047611
"Zone_SW_Bath_1000",-0.237693055902974,-0.456966340962144,0.697690554454781
"Zone_SW_Bath_200",-0.214112049982678,-0.644003617808895,0.692697589433001
"Zone_SW_Bath_400",-0.25086395816063,-0.602662285650438,0.678965413206916
"Zone_SW_Bath_600",-0.258462593324958,-0.590794086140086,0.685593059958952
"Zone_SW_Bath_800",-0.213385999605901,-0.55406966762312,0.729912987557552
"Zone_S_Bath_1000",-0.422083787413805,0.559699679576527,-0.812088321518765
"Zone_S_Bath_200",-0.336744321427675,0.862145604855721,-0.161153497847772
"Zone_S_Bath_400",-0.336744321427674,0.862145604855722,-0.161153497847772
"Zone_S_Bath_600",-0.367905704082966,0.787130254759919,-0.38989963563116
"Zone_S_Bath_800",-0.262637482417395,0.665726523908745,-0.49553639239366
