"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178"
"X1",0.106254460225295,0.123963536929511,-0.587487496349125,-1.37885874939953,-2.03767754696858,-1.15539088875525,-0.273104230541915,0.200872124882867,0.674848480307649,-0.630154961843357,-0.251085624622002,0.127983712599353,0.507053049820708,0.555466255107414,0.603879460394119,0.652292665680824,0.700705870967529,1.15663263505764,1.20325608496383,1.24987953487002,1.29650298477621,0.374003535936269,0.241708265473101,0.540986495221792,0.42678258289378,0.287409959544638,0.0619577331836379,0.620557892746572,-0.272515167714327,-0.75244588166126,-0.595481227298789,0.556781961103932,-1.14812702429075,-0.375006041125113,0.08713803973445,1.35655263761479,-0.219405078908658,-0.163148619755787,-0.0533662566626407,0.0564161064305058,0.166198469523652,-0.065736859077129,-0.29767218767791,-0.529607516278692,-0.761542844879473,-0.993478173480254,-1.22541350208104,-0.468989181263347,-0.0725400835112472,0.154101532429654,0.380743148370555,0.312796706973049,-0.175299885708451,0.617126312598136,0.253121216682491,0.31540732664346,-0.217439691658988,-0.639600832478891,-0.07881065343998,0.288339478681335,0.339828112176637,0.3409653556959,0.342102599215162,0.940952837230797,0.278119113574505,-0.771531680272178,-0.141415153535276,-0.710040129501591,-0.110467207285193,0.489105714931205,1.0886786371476,1.688251559364,1.22200572435618,0.886786512301241,0.551567300246306,0.0950498406827624,-0.77089885151336,-0.139494570030927,0.491909711451506,0.375042175785653,0.954054248843364,0.478811696129521,0.00356914341567831,0.165123064989597,-0.128242891379769,0.345301785255719,-0.136320363390155,0.1370149828978,0.198687322121364,0.175013639185235,0.969274946606814,1.67918527212011,0.115205582557462,-0.175465024378834,-0.623918818507723,-1.07237261263661,0.270965465229674,1.05657249759544,1.56543363955061,1.50835768487039,-0.682722413058673,0.494530341561134,-0.178858441477609,0.122672804377586,0.424204050232781,-0.0456007671126625,-0.509446145254898,-1.28753269153472,0.231859282421138,0.387806500531526,0.719216412365336,1.05062632419915,0.14811719128732,-0.946818774097143,0.560570548162463,1.0990598504347,-0.575258365345871,-0.66172980344258,-0.748201241539289,-0.0599345427277481,-0.12573354546778,-1.63252779666331,-0.744759025531609,1.46458334322219,-0.717289430121537,-0.671200462776243,-0.324982433168486,0.0212355964392711,0.34892858601408,0.211157067593286,0.578017943630803,0.944878819668319,0.46746189302763,0.30533526414953,0.489492533891713,0.673649803633896,1.10577146752777,-0.185405441043273,-0.0238105988243252,1.7292662734257,0.385361571930088,-0.670370899451172,-0.581987326209529,0.061179039178534,-0.270741981795533,0.373901391819161,0.478627595192393,0.160969634699038,-0.156688325794318,-0.176527638895722,-0.0484148405195542,-0.51870313296245,-0.988991425405346,-0.573343624319169,-0.697427688192782,0.863549360303336,-0.589027469468748,-0.630470122534045,0.00887511644957051,0.648220355433186,0.987901827187362,-0.189034062190452,-0.0349627541159915,-0.0516539946106158,-0.390791375180605,-0.00254413854557294,-0.16120553419671,1.05548100261745,-0.731226122925813,0.984416194546387,-0.411508494618967,0.546623853359786,0.359189598801435,-0.105774183001728,-0.320509168353809,-1.23084734282612,-3.54267082136562,-0.981107412570105
"X2",0.0446734781430019,0.0521190578335022,0.851125189422041,1.20682159080544,2.27835339581637,1.24906803282534,0.219782669834318,0.868971485528045,1.51816030122177,0.458948754996797,0.617340449207127,0.775732143417456,0.934123837627786,0.83957252362691,0.745021209626034,0.650469895625159,0.555918581624283,0.028255480871625,0.274171878392341,0.520088275913058,0.766004673433774,0.530071779764161,0.342027392837084,0.441018512137587,-0.0120918781762847,-0.544373407953779,0.322230602678157,1.00643473163352,1.46772021717502,1.7175843079291,2.17866700674187,2.47866901092284,0.435458371415383,1.05238102673771,0.522231517601802,-0.110755027582733,0.959831719256016,0.58990449960721,0.318576767265405,0.0472490349235988,-0.224078697418207,-0.0795355604797572,0.0650075764586925,0.209550713397142,0.354093850335592,0.498636987274041,0.643180124212491,0.782308560251343,0.702743325662521,0.121316974712242,-0.460109376238039,0.116427271018372,0.0178356031388486,-0.168214763599198,0.17618716726467,0.358950261596008,0.778415434378032,-0.272148847877808,-0.201553260284372,1.53495625270528,1.3910779332667,0.718268070725706,0.0454582081847104,-0.180471663001488,-0.507635764301099,0.281226480281524,-0.146236085030342,0.602626467866063,0.43815986472284,0.273693261579616,0.109226658436393,-0.0552399447068301,0.424375307190841,0.0732255905756138,-0.277924126039613,0.338667552758119,-0.931218215004395,-0.209005802962376,0.513206609079643,0.912146678509982,1.02434043290083,0.402023779580298,-0.220292873740239,0.807568152353983,0.881815653691717,1.34343060192085,1.52364510324909,1.42561648735254,0.457090968856848,0.12764670724379,-0.368980131008461,-0.0489680296048602,-0.51195844613167,-0.291384007821372,0.282580598907336,0.856545205636045,0.877127819006897,0.335184597121429,-0.451240632992686,-0.741285506432116,0.504404549534332,-0.718007718849697,0.129071581420016,0.103703681856552,0.0783357822930877,0.0982558555781132,-0.1929722208749,-2.24362389452471,0.576935906117413,0.336166573378232,0.187434033680351,0.0387014939824705,-0.679191080640223,-1.12464717525561,0.285286090409112,0.632043486793787,2.09831325280889,1.0722387448562,0.0461642369035059,-0.162402474111319,0.246157014291016,0.473815735654862,1.0898553113294,2.05050451629664,-0.566194110768586,-1.06095920536663,-0.235594273669851,0.589770658026931,1.11368055837851,-1.52246992894134,-1.17809624723107,-0.83372256552081,-1.79467114929951,-1.32638292420418,-0.199067872756195,0.928247178691792,-0.343319275272111,-0.3753960504626,0.0921542357078756,0.838552016905764,0.200359612912302,0.263462914494338,0.230692966621139,-0.26799594112515,0.74533934516237,-0.244979443201784,-0.296389212340875,0.282943025258044,0.862275262856962,0.461986405409887,-0.178494209330886,1.44452680180276,3.06754781293641,1.06989848167933,0.28109743174204,-0.0570878639790163,-0.894913443065743,-0.219149232366808,-0.0820210926426753,0.0551070470814572,-0.517781047661119,-0.337553203890852,-0.0774800302179172,-0.593267339996008,-0.581002615001803,0.538590315319673,0.320637776478205,0.249736176633592,0.793932555752538,0.126816015937703,0.255895196682948,-0.928994698551012,0.677991775560579,-0.0967292872594157,0.441254911310109,-1.24111982762602,0.212630179567318,-0.0682634161645318
"X3",0.955410508480214,1.11464559322692,0.399046176618267,-0.300624331422089,-0.28277093669708,0.0164707416886896,0.315712420074459,0.375420929339651,0.435129438604842,0.89645588179202,0.730690603300011,0.564925324808003,0.399160046315994,0.244038693628855,0.0889173409417158,-0.0662040117454231,-0.221325364432562,0.594735542724143,0.499459402327322,0.404183261930501,0.30890712153368,0.676159679898148,-0.0804496435092633,0.369643114710518,0.894911280818286,1.12584588677602,0.93564072864257,0.692539712731128,0.433082507450459,1.12589481644294,0.824940710712374,0.326629679979077,0.757692126031634,0.424012187093448,-0.140251821772923,0.379502113267735,0.349068702874351,0.767640643351683,0.901168919002233,1.03469719465278,1.16822547030333,1.0968022363852,1.02537900246707,0.953955768548932,0.882532534630799,0.811109300712666,0.739686066794532,0.66908464674066,0.641702481231855,0.403500515630547,0.165298550029238,0.326052406579885,0.136886944677319,0.0663113289300817,-0.107747546151898,0.08152271509691,-0.0721602616406698,0.642643240147085,0.146533124339945,0.138882901171143,0.0091819885154261,0.111587333444499,0.213992678373572,0.758161138413579,0.701212036268046,1.09682965015268,0.0987724727138595,-0.62659691753836,-0.455701622954996,-0.284806328371631,-0.113911033788267,0.0569842607950981,0.108452675118989,0.0272303076373948,-0.0539920598441989,0.432351015203193,-0.36688124235335,-0.474845499874595,-0.58280975739584,-0.717255886000058,-0.835664177647474,-0.358433668262835,0.118796841121804,0.139589845964555,0.917790386754113,0.35964609331587,0.0886468999855127,-0.144349404578609,-1.22473566093826,-0.0161505799501032,-0.0859051426276352,-0.112414303078467,-0.32462134229326,-0.177132413339606,-0.00942156145314482,0.158289290433316,0.376317827896826,0.157701690829137,-0.268149054959647,-1.34444307672117,0.175990997783082,1.12802843573858,0.0200312762067905,0.075113349988124,0.130195423769458,0.578973228813506,-0.0221243132625878,-4.33419413890046,-1.95076866135598,-0.959907346863747,0.0312812832621185,1.02246991338798,-0.318352518982891,0.301543774069526,-0.473818109276306,-0.0218341996470784,-0.525694535256822,-0.134953365588389,0.255787804080044,0.778265447434118,-0.251322644008249,0.998020035446708,-0.0512670521316859,-1.51686627576862,0.301945948901657,0.121260309765363,0.05712769670612,-0.00700491635312328,-0.562929986184434,-0.118076527509124,-0.552946399044611,-0.987816270580098,1.85123083696844,0.920985973456945,0.356417685245549,-0.208150602965847,0.213823216221531,0.665524198983087,-0.11989720447941,-0.903840390760481,0.602977387930675,0.710126630221644,0.0691749281011618,-0.00409469084843579,-0.346577501024479,0.704858099615958,0.00600056352443368,-0.730591606336852,-1.46718377619814,0.424977550503013,-0.561052671140434,-0.60552775399696,-0.650002836853486,-0.253129887985871,0.212916566448435,0.502279257899614,-1.81025991045672,0.650234733541758,0.353300921996834,0.0563671104519099,0.822347065327059,-0.026977211420223,-0.876163296969107,-0.596269222106724,-0.527805470355792,0.306998866694234,-0.0049118733122018,0.393996052475192,-0.956269261715115,0.389741176620386,0.437187221865419,-0.141842644456922,-0.533876419194007,0.506192360949682,-0.0150494615250921,-1.93426940113031,-0.39486453740785,-0.0439237603137307
