"","X1","X2","X3"
"Zone_NW_Bath_1000",0.634689469666636,0,0
"Zone_NW_Bath_200",0.559376722089976,-0.0595815454506259,0
"Zone_NW_Bath_400",0.621420692526588,-0.0179967410664183,0.020320536735571
"Zone_NW_Bath_600",0.621517719830162,-0.00994067916128168,0.0157249403661223
"Zone_NW_Bath_800",0.632426786505689,-0.00507998658331173,0.000771012745086622
"Zone_SW_Bath_1000",-0.0881307372232614,-0.400422440177342,0.582719500001759
"Zone_SW_Bath_200",-0.165452174048053,-0.483965941458965,0.565231055819139
"Zone_SW_Bath_400",-0.15883510729101,-0.493970611987663,0.588806439471181
"Zone_SW_Bath_600",-0.156268272928651,-0.482709375715993,0.587454647226265
"Zone_SW_Bath_800",-0.127564114977646,-0.48181278923353,0.595091458153717
"Zone_S_Bath_1000",-0.197449212240495,0.442230960150278,0.0253056287182047
"Zone_S_Bath_200",-0.352771112045193,-0.0486914421726605,-0.47296575507542
"Zone_S_Bath_400",-0.3527711120452,-0.048691442172659,-0.472965755075421
"Zone_S_Bath_600",-0.376053751443476,0.0760811591511399,-0.341854371944572
"Zone_S_Bath_800",-0.319489999888489,0.280740415702811,-0.0857563949269082
