"m","R_structure","AICc","logLik","converged","degenerate","min_R_variance","min_Q_variance","degenerate_R_series","degenerate_Q_trend","delta_AICc","AICc_support"
3,"diagonal and unequal",-1320.37789721117,-193.843033830135,FALSE,TRUE,-3.09765868570901e-10,1,"Zone_S_Bath_200; Zone_S_Bath_400",NA,0,"Strong support"
3,"equalvarcov",385.718433361468,-147.636239534348,FALSE,FALSE,0.845138232682203,1,NA,NA,1706.09633057264,"No support"
2,"diagonal and unequal",760.804429377028,-335.179237542127,TRUE,FALSE,0.001079121878111,1,NA,NA,2081.1823265882,"No support"
2,"equalvarcov",1011.79554707535,-474.289930400419,FALSE,FALSE,0.888382308000738,1,NA,NA,2332.17344428651,"No support"
3,"diagonal and equal",1131.61659132513,-521.640394427996,FALSE,FALSE,0.0353527786039581,1,NA,NA,2451.9944885363,"No support"
1,"equalvarcov",2317.45044006614,-1141.53931480828,TRUE,FALSE,0.994393558983771,1,NA,NA,3637.82833727731,"No support"
1,"diagonal and unequal",2430.49992587367,-1184.68045895643,TRUE,FALSE,0.00133579912899735,1,NA,NA,3750.87782308484,"No support"
2,"diagonal and equal",2442.35450540681,-1190.607748723,TRUE,FALSE,0.125335294088284,1,NA,NA,3762.73240261798,"No support"
1,"diagonal and equal",3089.69268411832,-1528.68119330385,TRUE,FALSE,0.253783545647913,1,NA,NA,4410.07058132949,"No support"
