Zone,Year,value_annual
NW,1981,0
NW,1982,7644277821.674263
NW,1983,507679944723.32935
NW,1984,61028676877.520676
NW,1985,64118711609.39675
NW,1986,163644513916.38272
NW,1987,65942524856.4923
NW,1988,175638372168.51483
NW,1989,1223452550641.2314
NW,1990,1403054916486.3894
NW,1991,936146455086.7551
NW,1992,0
NW,1993,73804918278.49971
NW,1994,135455143517.06802
NW,1995,680994615577.9811
NW,1996,458896661653.72845
NW,1997,2862332483209.6187
NW,1998,1218350218829.1743
NW,1999,760653324528.6299
NW,2000,167864772398.6741
NW,2001,13707552697.671024
NW,2002,497070820435.4053
NW,2003,518307959179.2912
NW,2004,1611944374645.5645
NW,2005,226058239480.67993
NW,2006,4275756701581.657
NW,2007,368809555927.8486
NW,2008,468200599867.5803
NW,2009,1265261885794.8743
NW,2010,733317143831.0055
NW,2011,1984939301083.238
NW,2012,974236026556.0594
NW,2013,707944016677.0822
NW,2014,3374709893718.4487
NW,2015,1152137542691.6628
NW,2016,1039650114978.4629
NW,2017,318534931764.0224
NW,2018,216288907376.6852
NW,2019,43758471925.275314
NW,2020,1324771193644.2107
NW,2021,1176026473200.309
NW,2022,2436149141304.67
NW,2023,6652813506086.878
NW,2024,2452145476755.62
NW,2025,958600764672.9111
SW,1981,57840125572.25342
SW,1982,0
SW,1983,608702156170.1368
SW,1984,0
SW,1985,12947635900.65565
SW,1986,14790506568.896118
SW,1987,298699578418.57764
SW,1988,183224210956.08282
SW,1989,1027358592414.4823
SW,1990,581040834792.1493
SW,1991,727031280347.787
SW,1992,0
SW,1993,0
SW,1994,157351520310.0585
SW,1995,746046911487.8469
SW,1996,301933574714.2447
SW,1997,1640679463540.5889
SW,1998,436061564728.0461
SW,1999,127714457967.06235
SW,2000,174092860627.46426
SW,2001,6723570543.247814
SW,2002,383294294379.3134
SW,2003,317684796788.7843
SW,2004,420564100945.96765
SW,2005,469452305415.2945
SW,2006,2795085371747.3765
SW,2007,162774825735.24356
SW,2008,557131366201.1677
SW,2009,794438959383.7943
SW,2010,402043077008.9441
SW,2011,2050881867092.2275
SW,2012,558615435057.3911
SW,2013,309569755999.9226
SW,2014,1716790739522.6685
SW,2015,930778831175.323
SW,2016,1026440834126.2808
SW,2017,677017763935.4706
SW,2018,135816662762.36783
SW,2019,22581463003.64994
SW,2020,677403407054.9452
SW,2021,546943332187.5612
SW,2022,604448490700.0688
SW,2023,2625817834965.8994
SW,2024,1971956179749.0764
SW,2025,401889581674.18005
S,1981,4679380352.144885
S,1982,154577373460.53552
S,1983,94511262269.23195
S,1984,0
S,1985,14951900671.15613
S,1986,0
S,1987,242489784723.00705
S,1988,9547623579.887533
S,1989,366815915997.3404
S,1990,113578334358.66086
S,1991,315533457243.7925
S,1992,0
S,1993,19041280989.65789
S,1994,16821658237.430408
S,1995,336663918528.04156
S,1996,266275413658.84247
S,1997,533351865773.7615
S,1998,419123210272.938
S,1999,40428738765.60753
S,2000,100814869849.85304
S,2001,0
S,2002,57786071962.12592
S,2003,131504161139.95511
S,2004,48659263153.045654
S,2005,329134624709.04974
S,2006,1062935370049.8541
S,2007,162067219814.32645
S,2008,295977500127.87976
S,2009,374088000109.44006
S,2010,704085135687.5847
S,2011,1344913867510.8945
S,2012,53790433111.31782
S,2013,739669367700.5664
S,2014,795913780791.3015
S,2015,895084078212.2106
S,2016,1047819119050.6327
S,2017,1385758882108.104
S,2018,488139160963.578
S,2019,56625752500.94244
S,2020,992130713468.8495
S,2021,292759760567.8429
S,2022,802424201613.1844
S,2023,2222859481303.893
S,2024,1526489453332.309
S,2025,1256902280022.42
