"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"X1",-0.483030825229114,0.831116308162693,-0.323819028333175,0.142276152075183,-0.89369589897875,0.0177552819415079,0.191703289450619,1.49667261239194,2.94851129003105,-0.0685121947855804,0.191649174239261,0.195055855206936,0.241392012047721,0.529614210012397,1.48178191639625,0.39301272980798,-0.981917397280428,0.137659941012144,-0.457944297903985,-0.727054491797361,1.17147439186131,0.592150434157054,0.14774167686039,-0.67461126093009,-0.0627911302786639,0.440426209130157,-0.0919998175442736,-0.630065538728409,-0.400418598579812,-0.69613034313721,0.604756964436399,-0.118652275341829,-0.80934710736575,-0.411376158097101,1.16532956564113,-0.164695572942528,-1.55097532576248,-0.240115506720624,-0.85470624480903,-1.13311014476596,-0.914796401753252,-0.0609277109040922,-0.110805149896301,0.165631990290673,-0.224606597728427
"X2",0.367517301903424,-0.00453087975888523,0.228332156216277,0.0495669650937267,0.0656822060591652,-0.0585020051136933,0.4365170837954,-0.0405538864680079,-0.880904323386482,0.256105712938838,0.0855294287587297,0.0853407971366124,0.157010440757912,-0.0235936745792195,-0.288048455886192,-0.0835602023581934,0.519381965206853,0.0304555171347466,-0.441382334486866,-0.128293414528497,-0.149383154509681,0.0698348811755796,-0.0151068441128854,-0.135048333501268,0.13243161261639,-0.696972369552766,-0.855768997564628,-0.837012628806911,0.052878101973995,0.2782555661416,2.37042611032332,0.0126425028016354,-0.314730998049525,-0.299552204692276,-0.760586349333027,-0.334220554561066,-1.07742715297533,-0.322667345902578,-0.531265296064799,-1.3522679995637,-0.68865518561777,0.341032015776418,3.72297732469294,0.892559116407043,0.162590554644643
"X3",0.805973557821807,0.506974930559931,0.431028351205887,0.134612443346849,-0.188447783211499,-0.752541833682366,0.392262430145775,0.925352881294498,0.396588617473939,0.732553860640394,0.161846716151773,0.155268042961831,0.312863994088683,0.47019433191802,0.949465414705994,0.0656012831762611,1.53068656524378,0.150172316641483,-0.492223828175246,-0.0467389890625627,0.304745280523287,0.577602705472686,-0.396080652353626,0.473198308889452,-1.27401684161823,-0.701999459097096,-1.02286628644368,1.71406314758043,0.839423479610159,-0.867083653449863,1.36910602007094,-0.371457613302488,0.285468250116343,-0.907444304954218,-0.992645772655947,-1.56992072465295,-0.954529467044077,-0.290876181168214,-0.343918997169034,-0.150856823118813,0.637183657917916,0.0686743473013953,-1.70328019573948,-0.294229004693657,-1.07224015168189
