"","X1","X2","X3"
"Zone_NW_Bath_1000",0.861090017153374,0,0
"Zone_NW_Bath_200",0.960363529501429,-0.298640173767695,0
"Zone_NW_Bath_400",0.86561905368438,-0.329031308021417,-0.0235290971381248
"Zone_NW_Bath_600",0.896379568105344,-0.422183627359562,0.0482634981537502
"Zone_NW_Bath_800",0.871589994147968,-0.286706341206683,0.126724628692541
"Zone_SW_Bath_1000",0.0176311111973318,0.579692470385095,-0.687208366292666
"Zone_SW_Bath_200",0.239383392134215,-0.0707973840199203,-0.915444116377818
"Zone_SW_Bath_400",0.24586462110285,-0.10306202031749,-0.91582390261851
"Zone_SW_Bath_600",0.221803796334733,-0.162702309898621,-0.893592904884416
"Zone_SW_Bath_800",0.282606432498888,-0.120514871854436,-0.894859819701133
"Zone_S_Bath_1000",-0.670097029453472,-0.320949303633289,0.639486258078195
"Zone_S_Bath_200",-0.466593835690741,0.517981382506025,0.604528419672614
"Zone_S_Bath_400",-0.466593835690742,0.517981382506025,0.604528419672614
"Zone_S_Bath_600",-0.441869588520465,0.662787247077985,0.4425574445189
"Zone_S_Bath_800",-0.641521718607114,-0.1039526167333,0.634010430743938
