Zone,Year,activity_total,events_total,area_total_km2,intensity_mean_degC,duration_mean_days
NW,1981,0,0,0,NA,NA
NW,1982,7644277821.674263,2,124.62225652308675,1.1530061960220337,5.5
NW,1983,500529437385.3301,47,3653.538267510644,1.448259323835373,8.250541125541126
NW,1984,61028676877.520676,8,535.4441743714915,1.6088106632232666,7.75
NW,1985,64118711609.39675,12,979.3536414118876,1.6756300926208496,5.333333333333333
NW,1986,163644513916.38272,18,1329.789154564878,1.6902193427085876,7.555555555555555
NW,1987,65942524856.4923,13,957.7621965103538,1.5679194927215576,5.6
NW,1988,164980251593.114,22,1692.977280782714,1.5271129846572875,6.309523809523809
NW,1989,1197230197159.8167,79,6217.951273208681,1.4403834283351897,11.39238071022968
NW,1990,1392049083998.1304,136,10558.70098326548,1.4550004686628069,11.113503012865225
NW,1991,929481743375.9424,33,2553.0234973862453,1.877430498600006,21.357142857142858
NW,1992,0,0,0,NA,NA
NW,1993,73804918278.49971,15,1156.240073215303,1.173678070306778,5.857142857142858
NW,1994,135455143517.06802,25,1947.1133104277772,1.2811635931332905,7.216666666666667
NW,1995,680994615577.9811,79,6097.310045200376,1.3985984836305891,10.211388888888889
NW,1996,456129234686.1184,17,1458.605900911411,1.357909878094991,6.428571428571429
NW,1997,2803140277314.561,105,8509.200475267344,1.5138325691223145,18.76689814814815
NW,1998,1194878274109.705,99,7665.800212549828,1.1723000705242157,15.157242063492063
NW,1999,749550168161.9769,49,3919.1392137961006,1.8344357808430989,8.757936507936508
NW,2000,167864772398.6741,25,1853.180929465911,1.5129316250483196,6.233333333333333
NW,2001,13707552697.671024,3,257.41145418166377,1.5211342970530193,5.5
NW,2002,487512278867.77844,66,4901.4271888124,1.3347009778022767,9.7475
NW,2003,498720473310.6698,56,4405.591418007354,1.5353989899158478,7.400089605734768
NW,2004,1566921988915.1729,69,5376.819882496044,1.7938485145568848,21.36355710549259
NW,2005,220226441697.94424,40,2992.635848613516,1.5849114656448364,5.742063492063492
NW,2006,4179808655076.7896,134,10276.345856841037,1.7659738063812256,23.913505402160865
NW,2007,365925263740.4762,47,3874.928861181726,1.274509060382843,8.23452012383901
NW,2008,452279968488.9395,73,5740.185261184056,1.3478239849209785,6.403143274853801
NW,2009,1237128157037.8958,86,6647.541200684589,1.5876056671142578,8.827083333333333
NW,2010,723170476934.0385,59,4656.434069879699,1.7368716994921367,7.703030303030303
NW,2011,1913897611345.3936,94,7022.061773327856,1.419742688536644,9.920305091733663
NW,2012,938451817648.2708,78,6001.4301083897,1.5800591111183167,9.16243131868132
NW,2013,707944016677.0822,52,4126.26285491641,1.7160414159297943,10.13888888888889
NW,2014,3312205082953.5034,106,8279.765626737795,1.7904385328292847,16.43633969716919
NW,2015,1113164847935.2651,85,6488.023798257924,1.5134775638580322,12.003569347319345
NW,2016,1034092154611.9591,83,6443.880085739299,1.3828777074813843,8.679574275362318
NW,2017,305401948328.79083,41,3162.1054737635804,1.4568062275648117,6.736111111111111
NW,2018,216288907376.6852,16,1362.757906392883,1.8281190395355225,12.5
NW,2019,43758471925.275314,8,713.2159475663104,1.4557414054870603,6.125
NW,2020,1285492045285.43,84,6593.33962676675,1.4681725927761624,9.052934102934103
NW,2021,1146862877242.5034,84,6512.967067208039,1.6223775148391724,12.884576612903226
NW,2022,2355030822906.419,154,11958.880348016166,1.5512579338891166,29.848963679038867
NW,2023,6410405690688.481,168,12881.671787371934,1.6055460409684614,22.318557915164085
NW,2024,2338778083039.1133,126,9650.358078605457,1.3362069981438773,18.233074090880372
NW,2025,920673964640.46,123,9570.641780287044,1.1822217181324959,7.65494227994228
SW,1981,57840125572.25342,10,424.6246864998801,1.6833104491233826,5.3
SW,1982,0,0,0,NA,NA
SW,1983,554449235833.5774,37,1676.4573556758423,1.3707736134529114,11.691919191919192
SW,1984,0,0,0,NA,NA
SW,1985,12947635900.65565,3,146.56610666763936,1.4629530906677246,5
SW,1986,14790506568.896118,3,160.03419294256136,1.41968834400177,5.75
SW,1987,257434949776.65103,24,1037.938735775494,1.521527147293091,7.094017094017094
SW,1988,172862766151.40958,15,766.5098761984109,1.4449252486228943,12.066666666666666
SW,1989,884122386884.2372,46,2126.2508468586884,1.442906878888607,12.356646825396826
SW,1990,550556205516.255,77,3661.0378391328977,1.3365473821759224,9.3406279178338
SW,1991,606784732479.6725,18,852.499377565287,1.9435696601867678,22.11764705882353
SW,1992,0,0,0,NA,NA
SW,1993,0,0,0,NA,NA
SW,1994,143208638902.8589,23,1039.570457955955,1.2979649901390076,8
SW,1995,698095899263.7333,70,3308.9097094675244,1.3798587024211884,13.045003242371664
SW,1996,254300881509.10217,18,764.9952274218178,1.3326117197672525,9.121794871794872
SW,1997,1436002116361.3882,71,3250.0841112440935,1.4953715403874714,17.983630952380953
SW,1998,390361418846.06665,45,2164.908908370166,1.141837477684021,10.100130718954247
SW,1999,75130189876.62552,11,544.1628561600645,1.442536433537801,7.805555555555555
SW,2000,152040284396.22607,26,1206.3079500884146,1.4399402856826782,6.723809523809524
SW,2001,6723570543.247814,2,104.44705293567496,1.1098239421844482,5
SW,2002,354625983462.331,52,2527.107607154952,1.2678743600845337,9.0425
SW,2003,234902759711.6338,28,1344.4164142897062,1.4127542972564697,7.0250626566416035
SW,2004,288461997849.9592,22,1068.1170871294587,1.6307138601938884,9.395833333333334
SW,2005,344857472448.98,47,2188.5672995894943,1.4262374298913139,6.872916666666667
SW,2006,2317146929726.997,74,3426.9250179221863,1.581512701511383,18.81734006734007
SW,2007,132030159114.78644,23,1019.362698971617,1.410723050435384,7.5346153846153845
SW,2008,448875147103.174,42,1930.831402431326,1.1049536913633347,9.601010101010102
