"m","R_structure","AICc","logLik","converged","degenerate","min_R_variance","min_Q_variance"
3,"diagonal and unequal",15.5143684550509,-1687.96819899374,FALSE,TRUE,-1.39675813732659e-11,1
3,"equalvarcov",3625.6907215162,-1767.99739501934,FALSE,FALSE,0.484368649624881,1
2,"equalvarcov",3907.16142600131,-1922.15822577749,TRUE,FALSE,0.600133866120494,1
3,"diagonal and equal",3996.32315713043,-1954.35164705836,TRUE,FALSE,0.123011331294694,1
2,"diagonal and unequal",4057.99257151825,-1984.14832002037,TRUE,FALSE,0.0126338690082758,1
1,"equalvarcov",4866.05488107707,-2415.89788931076,TRUE,FALSE,0.79501063001997,1
2,"diagonal and equal",4952.70854086324,-2445.95835727709,TRUE,FALSE,0.261056567635182,1
1,"diagonal and unequal",5199.13806736119,-2569.17312052606,TRUE,FALSE,0.0234903599270733,1
1,"diagonal and equal",5884.26313651051,-2926.01646034159,TRUE,FALSE,0.52053948672939,1
