"","X1","X2","X3"
"Zone_NW_Bath_1000",1.03514292230606,0,0
"Zone_NW_Bath_200",0.949971893036169,0.268873843518328,0
"Zone_NW_Bath_400",0.903496062226557,-0.0464910622467277,-0.210498867055801
"Zone_NW_Bath_600",1.04075381072455,-0.00849439975828269,-0.0426045825863522
"Zone_NW_Bath_800",1.04284327304514,0.00623339909851931,-0.0060141105999141
"Zone_SW_Bath_1000",0.0516901528627416,-1.43001227489439,-0.125542065838823
"Zone_SW_Bath_200",0.238562394745448,-1.10361869628544,0.139289806302697
"Zone_SW_Bath_400",0.253895444356702,-1.11795132654575,0.131293207869755
"Zone_SW_Bath_600",0.252780347448144,-1.12068062166551,0.131733884192972
"Zone_SW_Bath_800",0.245122364482076,-1.11195009478656,0.0564921122610305
"Zone_S_Bath_1000",-0.753090986106813,0.374160872976035,1.12669245444392
"Zone_S_Bath_200",-0.804446913902387,0.536027536654533,-0.0928139570590169
"Zone_S_Bath_400",-0.804446913902385,0.536027536654534,-0.0928139570590168
"Zone_S_Bath_600",-0.816469035071063,0.479695702550318,0.558404471098393
"Zone_S_Bath_800",-0.86090029092636,0.500690326644218,0.836497301009151
