"","X1","X2","X3"
"Zone_NW_Bath_1000",0.739898618542374,0,0
"Zone_NW_Bath_200",0.813435620519542,-0.0581614340992482,0
"Zone_NW_Bath_400",0.75503815010216,0.00937924435426777,0.0224536940760325
"Zone_NW_Bath_600",0.751146846017184,0.0147125268530738,0.0201510684774779
"Zone_NW_Bath_800",0.753151528902995,0.0140098888601575,0.0196946437169166
"Zone_SW_Bath_1000",0.412145942352053,0.174080988644453,-0.442188032243536
"Zone_SW_Bath_200",0.548892744235612,0.0766653624731789,-0.610101021908579
"Zone_SW_Bath_400",0.446389601174147,0.174321349178165,-0.603288361267761
"Zone_SW_Bath_600",0.406955586909796,0.197225561829513,-0.590320381136934
"Zone_SW_Bath_800",0.454092054553888,0.170582712915204,-0.570317495834885
"Zone_S_Bath_1000",-0.559913088100923,0.674113941955419,0.0858368750533328
"Zone_S_Bath_200",-0.683261550309959,0.11553332870188,-0.279865208509994
"Zone_S_Bath_400",-0.683261550309942,0.115533328701879,-0.279865208509994
"Zone_S_Bath_600",-0.713305134538744,0.238397182044455,-0.241363219418143
"Zone_S_Bath_800",-0.658751495868457,0.546071781788672,0.0222261048093132
