"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136"
"X1",0.0634967106254811,-0.157951652161971,0.122010597315709,-0.231798775912619,0.178782219580993,0.557101355495054,0.837237093013123,0.127841468149556,-0.041065527835302,0.0508761932051589,-0.0357467215464824,-0.17857274290298,-0.112217069575688,-0.274620412218905,-0.0785457307113295,-0.406875349679004,-0.428594470847276,-0.174706036495264,-0.214926349852814,-0.0984753320907981,0.267484604103007,1.18777305654102,-0.307744164938899,0.394288706046776,0.495836922687345,0.162089040381973,0.919745271817988,0.0356697173868042,-0.10380878970752,0.339819276581634,0.335855028087773,-0.199787533611929,-0.224831027076055,0.386260613830228,-0.0225027344975496,-0.0101244388973159,0.248735750920913,0.602389544386528,0.0921595339639571,0.102095623776476,-0.0545653424931527,2.52776914835702,0.184308697016031,-0.173219058846609,-0.0363922841714578,-0.0962474948992605,-0.266546631714793,-0.0417684403165258,0.394421929991728,-0.0929594185666433,0.0944660555485403,-0.208558559439141,-0.336178576734442,-0.057123454207844,0.345132521878346,-0.270556142708565,-0.105339723070273,-0.246428668320532,0.15870008900796,0.0228502103943303,0.336530158120524,0.345356308831469,0.933852483893959,0.196606597874605,-0.711541577258161,0.05402711364238,-0.147571336224736,-0.0487021923347044,0.559211658447032,0.303970572112948,1.14677654536077,0.243085303688888,-0.086966929800605,-0.20124335200532,-0.350142666074722,-0.0911935024471959,0.120282216984139,0.845070420591391,-0.407381826064772,0.387332750833811,-0.198874751195983,-0.204586457682294,-0.48116796994385,0.160211945152744,-0.184947882208568,-0.605234144844843,-0.316985709150996,-0.0526964576734243,0.352313015070836,-0.601545309398858,0.0785241882682995,0.0916205867726008,-0.341131844972559,0.437410206634047,-0.0446247477268275,1.28097116997528,-0.402841308302641,-0.371224097332101,-0.240066499645667,-0.667085537574152,-0.808986373824748,0.00354085800051465,-0.0298617923653757,-0.099658997685444,0.0224530541473294,-0.155708071550415,-0.110019390221826,-2.08689423766517,-1.19549796638378,-0.618071287640281,-0.0467123102719444,0.0480061090250567,-0.465009965476478,-1.08245633070007,0.525902537538291,-0.486037430353769,0.0772121553551201,-0.514767700678672,0.540635029480687,0.971790264189644,0.447023048586654,0.471394607526679,0.024971022494646,2.80588250710246,0.378300896827846,0.617718754877824,2.63607923304976,-2.84335412406504,-0.635218229123259,-0.080624211903907,-1.40433041470444,-2.44769416187559,-0.179797528977208,0.0220239312415119,-0.227292530280835,-0.352799767747234
"X2",-0.155474224520809,-0.157050189616547,-0.09069550682575,0.311791384038602,0.0097199441555948,0.436107816257799,1.40777568239947,0.600803506757751,-0.169806119776043,-0.2196112613215,-0.361526375617461,-0.328660685885146,-0.258195245826396,-0.0887132681249013,0.276218875075891,0.0725871033515573,-0.00548029911399212,0.0562727106240431,-0.154458881220434,-0.283123683344919,-0.25920371830057,-0.269567053582658,-0.151158200389934,-0.208363504212601,0.447073033971158,-0.132777782570667,0.42881077600676,0.233145672330091,0.0391771345387376,-0.0888911932883666,-0.203648975498313,-0.185290647177462,-0.139777776338511,-0.0939392414430873,0.125913455528148,-0.144119052277344,-0.0310525923363087,0.757227690238663,0.359129178095968,0.445997749862605,-0.331894760642913,-1.47391041644947,0.3646580671031,-0.100343008477906,-0.178571461359398,-0.434649454150217,-0.295589673100612,-0.0969857272620789,-0.151690541448221,-0.0843499702270852,0.227634063810879,0.032240864609461,-0.174675957531084,-0.266584253591094,-0.154324470394408,-0.0273746189616979,-0.385518774751586,-0.413815448175882,-0.368171748397057,-0.323358228290894,-0.432122084073478,-0.519205548511453,-1.05599867398263,-0.403714805759105,0.454328881714581,0.101012628773051,0.000989392475701907,0.0607969205013328,0.06614323354669,0.0719875232962194,-0.652124103140469,-0.342363425561623,-0.203156645962099,0.0902813943123228,-0.276841974399677,-0.225295663114694,0.125856796901845,0.284992104595491,0.0802948374923478,0.616291953787324,0.203867841800832,-0.0174086268675688,0.0653004778898824,0.0970581349144237,0.464357545843602,-1.00920743084363,0.106565738430364,-0.176659975247601,-0.074759888926432,0.386072900706397,-0.158593804349159,-0.154597657633651,-0.161089685116993,0.83085101419652,0.999292324989826,0.976913991803971,0.431070030998522,0.76827129501186,-0.324500925490886,-0.94025810923498,0.0864008925145067,-0.417083744110401,-0.390495235165345,0.460450197868728,0.177583049574018,0.543525259354583,0.311877471825944,-0.724184093419315,-0.186206372341509,-0.0862847633003095,0.0957391759119144,0.224500671415285,-0.147506464868285,-0.393783525477132,-0.506760020788996,-0.487556152566897,-0.165952351819826,-0.0180078815042503,-0.47288232057206,-0.17981741448314,-0.0787252194720129,0.254310592962369,0.51542809415423,4.61174934255683,1.50679702548536,0.203025031033159,-0.181470536528656,3.58100384744534,-0.293527106358177,0.343021701798027,-0.594026170467505,-1.69248987566922,0.770046678851967,0.308744150337408,1.09215420443404,0.367788354818235
"X3",0.233350439573791,0.299151647869191,0.385318061792031,0.404975496532699,0.0395810086758615,0.0987300385442768,-2.54452975720709,-1.17059003489521,0.21047646121064,0.322048643646566,0.484597632029684,0.336962084058412,0.370020185028588,0.0461786497346871,-0.456249308794806,-0.338882958664477,-0.192821872694632,-0.0223131072994241,-0.288583509982688,0.175493444967196,0.218679805080839,-0.453840609770587,0.290768033557151,0.301265344368236,-0.812751637042697,0.356691238248811,-0.762976913187633,-0.494782203356648,-0.224202516672022,0.0623132869481174,0.120701535079255,-0.0219213769863684,0.0597942350973889,0.141696461142732,-0.134364831914431,0.191419142088497,0.495032096984376,-1.35034778677336,-0.386552887345978,-0.704955178064714,0.258829897719297,0.216205853452939,0.154416038742042,0.0783108057225582,0.314710653868843,0.238981719823774,0.183487364454618,0.11025855991935,0.108845280737297,0.17622380191457,-0.01396176252415,0.0766102906542763,0.195103839980165,0.338565241577119,0.141541075052237,-0.303646442386659,0.463937272714706,0.474554734201655,0.504978400919456,0.297250992860487,0.518180475727047,0.621031839954729,1.97797639924829,0.940808186355042,-0.0701600345238913,0.0952661845901744,0.0972222043918133,-0.0697631210963737,-0.9272969243103,-0.332696710907274,0.266818824133445,0.529924364286097,-0.0820270136418582,-0.0844709068061134,-0.637216882537423,0.17905311468346,0.337154693426872,-0.795450624655988,0.382900524698317,-0.739085993715564,-0.154070396816129,0.136032245697658,0.245419778902389,-0.232627322867805,-1.6744845504459,-1.26839488651981,-0.251111179963528,0.277044693610465,0.0384109911743301,-0.431586844693783,0.167547809299696,0.266926419452634,0.127088253272671,-0.48742682820156,0.822521978231901,1.39117366870118,0.424502098860937,-0.73878249771041,0.31238669628293,-0.112713089328884,-0.105916155780287,0.663740126462394,-0.0699939850802898,-0.672068932894504,0.108788361667991,-0.558703309173178,-0.0227265426199712,-0.172957675780984,0.832821349685164,0.188713706358838,-0.0398156103695705,-0.339904397653097,0.0142414194921034,0.38439681027827,-0.0690598681098402,0.463282675816609,0.363918621404587,-1.1904572907563,0.60551786465414,0.466098901999915,0.502677014063858,-0.0499114025005089,-0.00917951541714694,1.67346404707359,0.850666519185557,1.1542359658404,-0.263697931108383,-1.11263495838045,-4.96679065391512,-0.156624646464291,0.102347354054146,0.586110835456594,0.571980093630436,-0.414462201659735,0.329699793313019,0.311781786967029
