Zone,Year,activity_total,events_total,area_total_km2,intensity_mean_degC,duration_mean_days
NW,1981,0,0,0,NA,NA
NW,1982,7644277821.674263,2,124.62225652308675,1.1530061960220337,5.5
NW,1983,477041156118.4613,45,3518.836521128088,1.4492590129375458,8.263248847926267
NW,1984,61028676877.520676,8,535.4441743714915,1.6088106632232666,7.75
NW,1985,64118711609.39675,12,979.3536414118876,1.6756300926208496,5.333333333333333
NW,1986,157630944864.78494,17,1260.758783148006,1.695922315120697,7.647058823529412
NW,1987,65942524856.4923,13,957.7621965103538,1.5679194927215576,5.6
NW,1988,139544414822.5859,19,1469.1210188951916,1.535801601409912,6.208333333333334
NW,1989,1109712847973.8525,75,5904.940495816193,1.4491422951221467,11.414017366648945
NW,1990,1326026605105.8455,128,9972.927716656692,1.4634670870644704,11.212778376536203
NW,1991,872980972818.4521,30,2329.1672354987227,1.8966728448867798,21.259615384615387
NW,1992,0,0,0,NA,NA
NW,1993,70705319697.97147,14,1067.0855577103368,1.4598928689956665,5.714285714285714
NW,1994,128386597763.91045,23,1809.0525675940326,1.2815388838450115,7.228070175438597
NW,1995,652800801732.2722,74,5715.268896391015,1.4032890626362393,10.45779193736465
NW,1996,434454015864.8414,15,1280.2968699014784,1.3656967480977378,6.461538461538462
NW,1997,2568923229156.942,93,7566.8091466386895,1.5320386052131654,18.895790043290045
NW,1998,1083795894395.4476,91,7083.385942392226,1.1826781034469604,14.798385331143951
NW,1999,674540696070.9764,45,3606.128436403612,1.8580418427785237,8.6593567251462
NW,2000,163246251907.47476,24,1784.1505580490389,1.5196243524551392,6.066666666666666
NW,2001,13707552697.671024,3,257.41145418166377,1.5211342970530193,5.5
NW,2002,454957506054.36035,60,4473.83880912545,1.3411680936813355,10.018333333333333
NW,2003,456995655136.1628,52,4116.063781154149,1.544301450252533,7.33015873015873
NW,2004,1420602753711.8687,62,4863.435983755317,1.7967156966527302,21.337662337662337
NW,2005,201349961229.23825,37,2792.2627272652758,1.5878244936466217,5.704563492063492
NW,2006,3815037763836.986,120,9202.611778281018,1.777429774403572,24.261689138674058
NW,2007,360404359641.24713,46,3809.2574862160423,1.2884493470191956,8.23452012383901
NW,2008,407949609736.308,66,5203.3182219040455,1.3515231534838676,6.673039215686274
NW,2009,1137559311137.999,79,6134.157301943861,1.6038353919982908,8.751097178683386
NW,2010,681607205857.9393,56,4432.5778079921765,1.7412426273028057,7.713333333333333
NW,2011,1703702358013.8813,80,5991.93497939521,1.5142599940299988,10.119253762110905
NW,2012,848717974851.0242,70,5419.015838232099,1.5907357732454936,9.089490968801314
NW,2013,687831837224.28125,50,3968.0779679945713,1.7229893505573273,10.211915535444946
NW,2014,3065484573588.864,96,7539.1664696583575,1.80647787782881,16.346892477499168
NW,2015,1005240273354.2214,76,5839.938153134639,1.553948964391436,12.130198537095088
NW,2016,975356206751.1605,76,5927.137190547382,1.3906905055046082,8.732216748768472
NW,2017,285833472480.0013,38,2941.6082083272468,1.4588115066289902,6.78125
NW,2018,211294232416.24008,15,1273.6033908879165,1.836227297782898,13
NW,2019,43758471925.275314,8,713.2159475663104,1.4557414054870603,6.125
NW,2020,1160218786371.4714,74,5832.616325599217,1.47236533675875,8.955756661639015
NW,2021,1058070040002.0247,76,5910.428652962344,1.6294992864131927,12.91314935064935
NW,2022,2123605039298.062,138,10773.927663612872,1.5594163622174944,29.876441644668006
NW,2023,5765487278728.625,152,11693.36010651745,1.6111146211624146,22.195636865857452
NW,2024,2044602342376.8254,111,8551.20091325594,1.3382220268249512,17.911407639979068
NW,2025,806081278652.6503,109,8543.873982805586,1.178388573229313,7.533049899801818
SW,1981,47897275023.82378,8,340.3739411496668,1.7069807052612305,5.375
SW,1982,0,0,0,NA,NA
SW,1983,468003503289.9035,27,1241.7315966336237,1.3845129907131195,12.955357142857142
SW,1984,0,0,0,NA,NA
SW,1985,12947635900.65565,3,146.56610666763936,1.4629530906677246,5
SW,1986,14790506568.896118,3,160.03419294256136,1.41968834400177,5.75
SW,1987,208149012847.4011,19,823.9438643271725,1.5672042846679688,6.992424242424242
SW,1988,158678082223.39285,14,717.6509575020642,1.4484307765960693,11.857142857142858
SW,1989,741307006855.6338,39,1828.0052300601537,1.4609067514538765,12.860470085470086
SW,1990,488680451100.5632,65,3115.127150655505,1.3471176698803902,9.70703899275328
SW,1991,500859095617.88055,15,722.7552514671789,1.9737245440483093,21.892857142857142
SW,1992,0,0,0,NA,NA
SW,1993,0,0,0,NA,NA
SW,1994,122893483340.60138,18,828.9411244560854,1.3063740730285645,8.4
SW,1995,605836600191.163,58,2776.4661130326117,1.4521384239196777,14.31895141895142
SW,1996,208049355852.1139,14,599.8592746698432,1.3335002660751343,9.244444444444445
SW,1997,1219377037435.7776,61,2811.9928142534222,1.504794955253601,17.7625
SW,1998,344015339113.06976,37,1807.7028187812566,1.149707516034444,10.61111111111111
SW,1999,56680037770.69814,8,404.3171759679285,1.4308236837387085,7.833333333333334
SW,2000,128839962720.00536,22,1041.1719973364397,1.4501470088958741,6.666666666666667
SW,2001,6723570543.247814,2,104.44705293567496,1.1098239421844482,5
SW,2002,320751712490.4547,46,2250.786724967804,1.2782495021820068,9.222222222222221
SW,2003,192437960123.80106,21,1049.5363354396231,1.3552704602479935,7.444444444444444
SW,2004,224604196713.84402,18,892.879580283456,1.5331512292226155,8.333333333333334
SW,2005,270454947735.50467,38,1802.7004592436226,1.465836226940155,6.934188034188034
SW,2006,1911424859415.2012,60,2837.1648602220207,1.5955449223518372,18.87273739905319
SW,2007,104878642032.47739,18,818.8349195657756,1.4838637590408326,7.720833333333333
SW,2008,361440974880.56805,32,1496.105643389107,1.0952936212221782,12.411111111111111
