"","X1","X2","X3"
"Zone_NW_Bath_1000",0.724918908564256,0,0
"Zone_NW_Bath_200",0.718184344401713,0.0310586847216429,0
"Zone_NW_Bath_400",0.732774531119126,0.00216783526354346,0.00362018209842343
"Zone_NW_Bath_600",0.729929542066312,4.40690735274482e-05,0.00997815413061674
"Zone_NW_Bath_800",0.731266165594786,0.00233784233010996,0.00057466624025502
"Zone_SW_Bath_1000",0.0389029492586476,0.480152314886563,-0.116838627416588
"Zone_SW_Bath_200",0.274965445681714,0.556197875983143,0.0881878619499165
"Zone_SW_Bath_400",0.222326517534416,0.544777434727798,0.156638190922937
"Zone_SW_Bath_600",0.21640527151925,0.524772062344008,0.152855480171539
"Zone_SW_Bath_800",0.169980901805162,0.497510105800713,0.0741383664177653
"Zone_S_Bath_1000",-0.0929801843620905,-0.340708514972901,0.580156677691941
"Zone_S_Bath_200",-0.564713466866985,-0.327705892423369,-0.0121421151551072
"Zone_S_Bath_400",-0.564713466866969,-0.327705892423369,-0.0121421151551074
"Zone_S_Bath_600",-0.509319815653732,-0.34422553289341,0.0582174410596552
"Zone_S_Bath_800",-0.206690333632649,-0.372538822684986,0.454169313421042
