"","X1","X2","X3"
"Zone_NW_Bath_1000",0.127510899159221,0,0
"Zone_NW_Bath_200",0.094059641324456,0.0248756771847418,0
"Zone_NW_Bath_400",0.125004807065143,0.00401383857034376,-0.00461574050529942
"Zone_NW_Bath_600",0.124591537289011,0.000933541141553272,-0.000797560802708502
"Zone_NW_Bath_800",0.127581258971753,0.000742526244717347,0.000836247251354819
"Zone_SW_Bath_1000",0.0147155849654641,0.633464111294566,0.312063127575497
"Zone_SW_Bath_200",-0.0643006552271756,0.66292850907236,0.329814602352826
"Zone_SW_Bath_400",-0.0733183701745003,0.661395517336914,0.326452637625648
"Zone_SW_Bath_600",-0.0703348993691909,0.666456143081703,0.32237266574005
"Zone_SW_Bath_800",-0.0455356871532894,0.663540200948713,0.311939516840896
"Zone_S_Bath_1000",-0.0306016634698706,0.257985136125201,0.92390968943111
"Zone_S_Bath_200",-0.431559227581193,0.202926714950647,0.830751234507097
"Zone_S_Bath_400",-0.431559227581172,0.202926714950643,0.830751234507094
"Zone_S_Bath_600",-0.320017932664598,0.2199762620636,0.865862573263161
"Zone_S_Bath_800",-0.186635819155275,0.269874757388664,0.905511581970787
