"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"X1",-1.60038105756386,-2.80481373903052,-0.828127941034066,-1.59917584121838,-0.0105002412836888,-1.6859480838728,-0.635196602868959,-0.302077432493898,-0.15509975066068,-0.988325806882882,0.0280577041163064,0.27029901401439,-0.0694781147414558,0.272136746487095,1.14748288375524,1.01332347706302,0.299013301410125,0.144591392171637,-1.17788008804599,0.0090186062401367,-1.17622864561646,0.193830532872318,0.167621763572406,-1.02315266238388,-0.557923601181897,1.28302896241075,1.09179041456502,0.0991240614135784,0.788248385912582,-0.419179611660804,-0.45830911969356,0.390413949090276,0.272751865091619,-0.0648731223480398,1.06376673115687,0.904014328423343,1.50386758473601,3.0146913908591,1.00783710235931,0.09085363978423,-0.30700276430091,-0.808322699914266,-0.350650979189719,-0.243131695504663
"X2",-2.22736620775528,-1.58397715302168,-1.40453438183605,-1.2049270000473,-0.968445447558871,-0.428685383330838,-1.1481493745476,-0.756863324288831,-0.0607960206829735,-1.07097545774714,0.38656565804429,-1.33442659585877,-0.0283520861962869,0.120631661976658,-0.980901739051551,-0.440087941653917,1.41165708272233,0.592403887128574,-0.524814955814833,-0.434656379062074,-0.713907086624541,0.0956461102508528,0.772079251598683,-0.710585370533815,-0.438990740974045,-0.196705009437677,1.24258256176144,1.78255227636247,-0.686159147883864,0.323047620180742,1.15566357226408,-0.438804229496422,0.614820968633268,-0.14153379288602,0.0360163020747461,0.400149508309251,0.745234938545765,0.441016243349138,0.775325458082656,0.587818898446303,1.14848055021957,-0.0670001343474239,1.03821363672027,0.831729661441504
"X3",-0.889871347019011,1.21422633085494,0.262935373984533,0.80900592196133,1.37344309387926,0.0780281721712056,-0.687584272018822,0.920877785286312,-0.595442783273183,0.280863453517358,-0.882153458580041,-0.511918306771844,-0.0322970379498756,0.419183898383223,-0.19710496078317,-0.966117431437708,0.185386160211128,-0.475600749373757,-0.315595872610456,0.176207234239323,0.66588183410475,-1.2169629351753,-0.413630771793757,-0.633485776678367,0.368606637410329,-0.520187535723291,0.298592700952485,-0.302081664191601,0.459433197795588,0.4745387118263,-0.454588217625168,0.2274076465018,-0.105540850744342,-0.570006492672147,0.444477639188934,0.688240193269362,-0.392873515828058,1.50824566449239,0.113588056576183,-0.640657333051069,0.315569211545271,0.128245213649698,1.15300692032199,0.442047818186463
