season,Year,NW,SW,S
DJF,1981,0,0,0
DJF,1982,2,0,0
DJF,1983,1.6666666666666665,0,0
DJF,1984,0,0,0
DJF,1985,0,0,0
DJF,1986,0,0,0
DJF,1987,0,0,0
DJF,1988,0,0,0
DJF,1989,7.482456140350878,4.355555555555556,0
DJF,1990,9.556051587301589,7.481481481481482,0
DJF,1991,0,0,0
DJF,1992,0,0,0
DJF,1993,0,0,0
DJF,1994,3.666666666666667,3.3589743589743586,1.8888888888888888
DJF,1995,10.24,9.666666666666666,6.166666666666667
DJF,1996,4.794871794871795,3.1111111111111116,2.666666666666667
DJF,1997,26.41786283891547,14.820512820512821,0
DJF,1998,8.671372549019608,3.9722222222222223,5
DJF,1999,0,0,0
DJF,2000,0,0,0
DJF,2001,0,0,0
DJF,2002,8.472222222222221,6.79047619047619,2
DJF,2003,0,0,0
DJF,2004,0,0,1.7777777777777777
DJF,2005,0,0,0
DJF,2006,2.7435897435897436,1.8333333333333335,1.8333333333333335
DJF,2007,7.75,4.75,4.2444444444444445
DJF,2008,3.0930232558139528,7.805797101449275,9.416666666666666
DJF,2009,1.6666666666666665,0,0
DJF,2010,0,2.5,2.666666666666667
DJF,2011,4.6190476190476195,5.651515151515152,2.333333333333333
DJF,2012,0,0,0
DJF,2013,0,0,0
DJF,2014,0,0,0
DJF,2015,11.461538461538463,12.972222222222221,13.722222222222221
DJF,2016,9.131578947368421,15.080808080808081,18.75
DJF,2017,0,1.8333333333333335,0
DJF,2018,0,0,0
DJF,2019,0,2,2
DJF,2020,4.6,3.5,15
DJF,2021,0,0,0
DJF,2022,15.807017543859647,8.533333333333335,10.444444444444443
DJF,2023,8.03311965811966,12.875,18.53333333333333
DJF,2024,24.70899470899471,21,22.166666666666668
DJF,2025,5.366959064327485,5.0476190476190474,4.166666666666666
MAM,1982,0,0,1.6666666666666665
MAM,1983,0,2.8,2.166666666666667
MAM,1984,0,0,0
MAM,1985,0,0,0
MAM,1986,0,0,0
MAM,1987,2,3.3333333333333335,2.2777777777777777
MAM,1988,1.6666666666666665,0,0
MAM,1989,4.933333333333334,2,0
MAM,1990,5.82106782106782,6.185185185185185,4
MAM,1991,0,0,0
MAM,1992,0,0,0
MAM,1993,0,0,0
MAM,1994,0,0,0
MAM,1995,1.6666666666666665,2.4444444444444446,2.5999999999999996
MAM,1996,1.6666666666666665,0,0
MAM,1997,27.3015873015873,23.275,11.341666666666667
MAM,1998,5.885964912280702,6.888888888888889,4.633333333333333
MAM,1999,0,2,2
MAM,2000,1.7333333333333334,4.111111111111111,4.166666666666667
MAM,2001,1.6666666666666665,0,0
MAM,2002,2.8666666666666663,2.6944444444444446,1.8888888888888888
MAM,2003,1.6666666666666665,0,0
MAM,2004,0,0,0
MAM,2005,1.6666666666666665,0,0
MAM,2006,7.410256410256411,7,0
MAM,2007,2.385964912280702,0,0
MAM,2008,1.6666666666666665,0,0
MAM,2009,0,0,0
MAM,2010,6.523076923076923,7.7516339869281055,6.444444444444445
MAM,2011,11.317073170731708,18.139880952380953,22.725
MAM,2012,5.3809523809523805,0,1.8000000000000003
MAM,2013,0,0,4.222222222222222
MAM,2014,3.8095238095238098,2,2.6111111111111107
MAM,2015,0,9.444444444444445,6.166666666666666
MAM,2016,0,0,0
MAM,2017,6.705128205128205,8.769230769230768,5.972222222222222
MAM,2018,0,0,0
MAM,2019,0,0,0
MAM,2020,7.9050505050505055,5.5,6.833333333333334
MAM,2021,5.657657657657658,5.388888888888889,5.944444444444445
MAM,2022,0,3.5555555555555554,1.7777777777777777
MAM,2023,28.327350427350428,15.754578754578755,11.542857142857143
MAM,2024,5.277777777777778,3.0606060606060606,3.2777777777777777
MAM,2025,8.145687645687646,7.388888888888889,4.75
JJA,1982,1.6666666666666665,0,0
JJA,1983,5.071428571428571,2.166666666666667,0
JJA,1984,2.583333333333333,0,0
JJA,1985,1.7777777777777777,1.6666666666666665,0
JJA,1986,0,0,0
JJA,1987,0,1.6666666666666665,3.5
JJA,1988,3.3333333333333335,0,2.666666666666667
JJA,1989,19.572222222222223,15.303030303030303,7.611111111111111
JJA,1990,7.671666666666667,6.794444444444444,5.444444444444445
JJA,1991,8.434782608695652,10.194444444444443,5.111111111111111
JJA,1992,0,0,0
JJA,1993,1.8888888888888888,0,1.8888888888888888
JJA,1994,1.9215686274509802,2.333333333333333,0
JJA,1995,7.318840579710145,5.916666666666667,0
JJA,1996,0,6.041666666666667,5.2592592592592595
JJA,1997,3.911111111111111,4.877777777777777,3.6666666666666665
JJA,1998,0,0,0
JJA,1999,6.377450980392157,3.4444444444444446,0
JJA,2000,4.333333333333333,6.966666666666667,2.833333333333333
JJA,2001,2,0,0
JJA,2002,0,0,0
JJA,2003,2.6794871794871797,4.9743589743589745,4.25
JJA,2004,21.04214559386973,6.828282828282829,0
JJA,2005,5.849537037037037,7.287878787878787,9.190476190476192
JJA,2006,11.532763532763532,22.133333333333333,14.174603174603176
JJA,2007,3.8333333333333335,2.416666666666667,0
JJA,2008,2.125,0,2
JJA,2009,7.946666666666667,8.055555555555555,6.277777777777778
JJA,2010,4.157575757575757,0,14.650793650793652
JJA,2011,0,2,3.7777777777777777
JJA,2012,7.556190476190476,4.5,0
JJA,2013,6.923076923076923,7.333333333333333,10.283333333333333
JJA,2014,5.845614035087719,1.6666666666666665,0
JJA,2015,5.766666666666667,6.716666666666667,2.8888888888888884
JJA,2016,2.8666666666666663,12.714285714285714,10.428571428571429
JJA,2017,2.333333333333333,4.575757575757575,7.5777777777777775
JJA,2018,4.333333333333334,2.666666666666667,0
JJA,2019,2.041666666666667,0,0
JJA,2020,2.916666666666667,2.3888888888888893,4.055555555555555
JJA,2021,6.666666666666666,0,0
JJA,2022,6.691067538126362,3.375,3.166666666666667
JJA,2023,5.208333333333334,6.833333333333334,5.3809523809523805
JJA,2024,0,2,0
JJA,2025,0,12.416666666666666,12.88888888888889
SON,1981,0,1.7916666666666665,1.6666666666666665
SON,1982,0,0,2.533333333333333
SON,1983,4.382716049382717,8.282051282051281,4.523809523809524
SON,1984,0,0,0
SON,1985,0,1.6666666666666665,3.6666666666666665
SON,1986,2.583333333333333,3.8333333333333335,0
SON,1987,1.7333333333333334,4.37037037037037,4.777777777777779
SON,1988,3.4333333333333336,4.305555555555555,0
SON,1989,2,3.1515151515151523,3.9333333333333336
SON,1990,0,2.125,0
SON,1991,6.555555555555555,4.666666666666666,2.166666666666667
SON,1992,0,0,0
SON,1993,0,0,0
SON,1994,0,0,0
SON,1995,2.1944444444444446,16.36111111111111,7.619047619047619
SON,1996,0,0,0
SON,1997,4.12781954887218,4.1,6.317460317460318
SON,1998,0,0,0
SON,1999,2.1111111111111107,2.333333333333333,0
SON,2000,0,0,0
SON,2001,0,1.6666666666666665,0
SON,2002,5.9523809523809526,6.166666666666667,0
SON,2003,2.9444444444444446,2.5555555555555554,0
